v_round,v_plant,v_contested,v_ratio,v_kind
R402_audit_the_schedule,,,,无法抽取种植幅度
R403_where_is_the_gap,,,,无法抽取种植幅度
R404_s_shame_vs_coverage,,,,无法抽取种植幅度
R405_fixed_people_varying_,,,,无法抽取种植幅度
R407_all_outcomes_curve,,,,无法抽取种植幅度
R406_guard22,,,,无法抽取种植幅度
R408_two_strata,,,,无法抽取种植幅度
R409_nested_vs_disjoint,,,,无法抽取种植幅度
R410_commonality_vs_person,,,,无法抽取种植幅度
R411_is_it_one_kind_of_per,,,,无法抽取种植幅度
R412_where_along_the_line,,,,无法抽取种植幅度
R413_interaction_not_quint,0.15,0.05,2.9999999999999996,可比(meaningful=(该轮自己声明的有意义效应量))
R414_within_person_order,0.12,0.05,2.4,可比(meaningful=(该轮自己声明的有意义效应量))
R415_wide_caliber_replicat,0.12,0.0307308614094558,3.9048693884993515,可比(arms.csv:v_b)
R416_is_it_just_earlier,,,,无法抽取种植幅度
R417_card_vs_object,,,,无法抽取种植幅度
R418_removed_means_removed,,,,无法抽取种植幅度
R419_third_indicator_hunt,,,,无法抽取种植幅度
R171_memory_or_present_nar,,,,无法抽取种植幅度
R172_which_interests_move,,,,无法抽取种植幅度
R420_identity_checker,,,,无法抽取种植幅度
R421_constrained_or_alone,,,,无法抽取种植幅度
R422_routes_by_sex,,,,无法抽取种植幅度
R423_early_by_sex_wide,,,,无法抽取种植幅度
R424_independent_confirmat,,,,无法抽取种植幅度
R425_S_by_sex,0.25,0.0334129630512725,7.482126012481225,可比(S_by_sex.csv:v_diff)
R426_guard26_and_audit,0.25,,,UNCOMPARABLE(争议幅度抽不到)
R173_does_the_map_radiate_,,,,无法抽取种植幅度
R174_is_the_trait_link_jus,,,,无法抽取种植幅度
R175_the_first_thing_you_e,,,,无法抽取种植幅度
R177_is_the_first_bin_effe,,,,无法抽取种植幅度
R178_expansion_or_deepenin,,,,无法抽取种植幅度
R179_is_it_reverse_recall,,,,无法抽取种植幅度
R182_do_they_have_differen,,,,无法抽取种植幅度
R183_which_line_is_the_rea,,,,无法抽取种植幅度
R184_are_the_two_sides_iso,,,,无法抽取种植幅度
R185_what_are_the_extra_di,,,,无法抽取种植幅度
R186_reprice_the_three_axe,,,,无法抽取种植幅度
R187_hardcoded_verdict_con,,,,无法抽取种植幅度
R191_split_delta_by_the_co,,,,无法抽取种植幅度
R192_is_the_breadth_link_a,,,,无法抽取种植幅度
R194_are_the_two_lines_one,,,,无法抽取种植幅度
R195_does_the_seam_hold,,,,无法抽取种植幅度
R197_does_the_80_percent_d,,,,无法抽取种植幅度
R198_redraw_114_and_101,,,,无法抽取种植幅度
R199_redraw_the_curveball_,,,,无法抽取种植幅度
R204_person_or_item,,,,无法抽取种植幅度
R207_is_the_recall_bias_pe,,,,无法抽取种植幅度
R208_position_or_content,,,,无法抽取种植幅度
R209_is_the_position_tende,,,,无法抽取种植幅度
R210_how_big_is_the_conten,,,,无法抽取种植幅度
R213_the_tenth_guard_and_a,,,,无法抽取种植幅度
R214_does_the_public_face_,,,,无法抽取种植幅度
R215_named_defects_still_l,,,,无法抽取种植幅度
R216_numbers_that_left_the,,,,无法抽取种植幅度
R217_backtest_the_gate,,,,无法抽取种植幅度
R218_qualifiers_stripped_f,,,,无法抽取种植幅度
R219_triage_the_forty_nake,,,,无法抽取种植幅度
R220_widen_the_window,,,,无法抽取种植幅度
R221_is_it_its_own_home,,,,无法抽取种植幅度
R222_the_seventeen_uncited,,,,无法抽取种植幅度
R223_literals_printed_as_r,,,,无法抽取种植幅度
R224_shame_and_the_positio,,,,无法抽取种植幅度
R225_early_half_or_late_ha,,,,无法抽取种植幅度
R227_within_person_slope,,,,无法抽取种植幅度
R230_is_it_shame_or_a_gene,,,,无法抽取种植幅度
R231_reliability_band,,,,无法抽取种植幅度
R232_content_residual_agai,,,,无法抽取种植幅度
R233_ten_outcomes_three_te,,,,无法抽取种植幅度
R235_raw_content_or_algebr,,,,无法抽取种植幅度
R236_desex_the_content_sco,,,,无法抽取种植幅度
R237_matched_conditioning_,,,,无法抽取种植幅度
R238_breadth_as_a_subject,,,,无法抽取种植幅度
R239_is_breadth_acquiescen,,,,无法抽取种植幅度
R240_nomological_profiles,,,,无法抽取种植幅度
R241_per_category_decompos,,,,无法抽取种植幅度
R242_is_the_loo_shape_a_sa,,,,无法抽取种植幅度
R243_the_distribution_of_r,,,,无法抽取种植幅度
R244_rho_i_against_twenty_,,,,无法抽取种植幅度
R245_three_predictors_one_,,,,无法抽取种植幅度
R246_is_animated_written_o,,,,无法抽取种植幅度
R249_do_the_loadings_repli,,,,无法抽取种植幅度
R250_pairwise_block_pc_cor,,,,无法抽取种植幅度
R251_non_likert_panel,,,,无法抽取种植幅度
R252_rho_panel_controlling,,,,无法抽取种植幅度
R253_early_half_or_late_ha,,,,无法抽取种植幅度
R254_category_drift_across,,,,无法抽取种植幅度
R256_delta_dose_curve_over,,,,无法抽取种植幅度
R257_within_person_split_a,,,,无法抽取种植幅度
R260_which_categories_carr,,,,无法抽取种植幅度
R265_doubly_constrained_nu,,,,无法抽取种植幅度
R266_delta_inside_the_resi,,,,无法抽取种植幅度
R267_the_second_item_direc,,,,无法抽取种植幅度
R268_the_als_loading_as_a_,,,,无法抽取种植幅度
R271_content_structure_by_,,,,无法抽取种植幅度
R272_align_the_block_signs,,,,无法抽取种植幅度
R273_does_breadth_have_blo,,,,无法抽取种植幅度
R274_is_the_breadth_profil,,,,无法抽取种植幅度
R275_do_the_breadth_types_,,,,无法抽取种植幅度
R276_does_shame_attach_onl,,,,无法抽取种植幅度
R277_two_levels_one_mechan,,,,无法抽取种植幅度
R278_how_wide_is_n_over_31,,,,无法抽取种植幅度
R279_does_the_profile_shar,,,,无法抽取种植幅度
R280_the_contrast_on_a_dis,,,,无法抽取种植幅度
R281_rebuild_the_shape_on_,,,,无法抽取种植幅度
R282_dose_response_for_the,,,,无法抽取种植幅度
R283_early_versus_late_acq,,,,无法抽取种植幅度
R284_does_it_survive_ratin,,,,无法抽取种植幅度
R286_scan_the_ledger_for_f,,,,无法抽取种植幅度
R287_clear_211_on_the_inte,,,,无法抽取种植幅度
R288_selection_amplificati,,,,无法抽取种植幅度
R289_early_or_remembers_ea,,,,无法抽取种植幅度
R290_delta_as_a_function_o,,,,无法抽取种植幅度
R291_which_clock_is_delta_,,,,无法抽取种植幅度
R292_the_rate_curve_and_wh,,,,无法抽取种植幅度
R293_rate_and_delta_from_d,,,,无法抽取种植幅度
R294_guard_13_and_the_hand,,,,无法抽取种植幅度
R295_does_rate_have_its_ow,,,,无法抽取种植幅度
R297_do_the_breadth_types_,,,,无法抽取种植幅度
R299_per_person_profile_st,,,,无法抽取种植幅度
R300_subtractive_power_for,,,,无法抽取种植幅度
R303_transgressive_half_on,,,,无法抽取种植幅度
R304_are_c3_and_D_the_same,,,,无法抽取种植幅度
R305_c3_orthogonal_to_D,,,,无法抽取种植幅度
R306_present_other_versus_,,,,无法抽取种植幅度
R307_let_the_data_name_it,,,,无法抽取种植幅度
R308_regress_out_the_named,,,,无法抽取种植幅度
R309_joint_r2_of_the_stand,,,,无法抽取种植幅度
R311_residual_spectrum_aft,,,,无法抽取种植幅度
R321_three_form_outcomes_r,,,,无法抽取种植幅度
R322_can_the_nameless_thin,,,,无法抽取种植幅度
R323_form_and_shame,,,,无法抽取种植幅度
R324_what_does_form_point_,,,,无法抽取种植幅度
R326_is_rate_really_not_a_,,,,无法抽取种植幅度
R327_the_remaining_tenth_a,,,,无法抽取种植幅度
R328_rate_residual_and_for,,,,无法抽取种植幅度
R330_measurement_invarianc,,,,无法抽取种植幅度
R331_invariance_at_the_joi,,,,无法抽取种植幅度
R333_gender_referential_sp,,,,无法抽取种植幅度
R334_leave_one_out_which_c,,,,无法抽取种植幅度
R335_shame_by_group,,,,无法抽取种植幅度
R336_where_does_S_drift,,,,无法抽取种植幅度
R337_removal_curve,,,,无法抽取种植幅度
R338_loadings_or_rarity_it,,,,无法抽取种植幅度
R339_within_group_ruler,,,,无法抽取种植幅度
R340_rarity_or_count,,,,无法抽取种植幅度
R341_response_style_partia,,,,无法抽取种植幅度
R342_bootstrap_noise_floor,,,,无法抽取种植幅度
R343_global_vs_local_rarit,,,,无法抽取种植幅度
R344_most_divergent_option,,,,无法抽取种植幅度
R345_grid_width_audit,,,,无法抽取种植幅度
R346_estimator_knob,,,,无法抽取种植幅度
R347_nested_cv,,,,无法抽取种植幅度
R348_nested_correlations,,,,无法抽取种植幅度
R349_eigenvector_reproduci,,,,无法抽取种植幅度
R350_repro_vs_n,,,,无法抽取种植幅度
