col,dtype,n,pct,nuniq,sample
"Of these options, which one is the most erotic? (35jn7ej)",str,3269,21.1,21,"['Castration', 'Cuckoldry', 'Defilement (to corrupt, dirty, violate)', 'Facesitting', 'Flaccid play', 'Forced consumption of desireable things']"
gentleness,float64,8837,57.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in gentleness related sexual interests? (j6jn9rl),str,8749,56.4,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following do you find erotic? (88ox5nl),str,3805,24.5,2561,"['Bukkake', 'Bukkake,Cheating,Cuckolding,Dogging (sex with strangers in public),Freeuse (society where people casually have sex with anyone),Gang bang"
Which of the following do you find erotic? (vqogs86),str,4988,32.2,297,"['Affection', 'Affection,Caretaker/caretakee dynamics', 'Affection,Romance', 'Affection,Romance,Caretaker/caretakee dynamics', 'Affection,Romance,Ener"
"Of these options, which one is the most erotic? (35jn7eo)",str,5140,33.2,16,"['Abductions/kidnappings', 'Body control (directly controlling a body, e.g. voodoo)', 'Coercion/blackmail', 'Dub-consensual (unclear consent)', 'Force"
Totalmultiplepartners2,float64,6149,39.7,19,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"Of these options, which one is the most erotic? (35jn7ek)",str,1161,7.5,8,"['Father and daughter', 'Father and daughter/son together', 'Father and son', 'Mother and daughter', 'Mother and daughter/son together', 'Mother and s"
gentleness2most,str,8401,54.2,9,"['Affection', 'Caretaker/caretakee dynamics', 'Clear, enthusiastic consent', 'Cuddling', 'Energy work', 'Romance']"
Totalgentleness2,float64,8693,56.1,9,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
nonconsent,float64,5603,36.1,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
incest,float64,2424,15.6,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in incest? (9f6vg9x),str,2398,15.5,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
How old were you when you first experienced sexual interest in nonconsent? (bx4o14o),str,5470,35.3,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following pairings do you find erotic?,str,2368,15.3,15,"['Aunt/uncle, niece/nephew', 'Grandparent/grandchild', 'Grandparent/grandchild,Aunt/uncle, niece/nephew', 'Grandparent/grandchild,Siblings', 'Grandpar"
"For sibling incest fantasies, which is your preferred pairing",str,1914,12.3,43,"['brother/brother', 'brother/brother (with age gap)', 'brother/brother,brother/brother (with age gap)', 'brother/brother,brother/brother (with age gap"
"For aunt/uncle, niece/nephew incest fantasies, which is your preferred pairing",str,1243,8.0,14,"['aunt/nephew', 'aunt/nephew,aunt/niece', 'aunt/nephew,aunt/niece,uncle/nephew,uncle/niece', 'aunt/nephew,aunt/niece,uncle/niece', 'aunt/nephew,uncle/"
mentalalteration,float64,3022,19.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Of these options, which one is the most erotic? (35jn7ew)",str,8281,53.4,18,"['Behavioral restrictions (e.g. limits on speech)', 'Bootblacking (polishing shoes submissively)', 'Breath play (choking, asphyxiation)', 'Disempowerm"
nonconsent1most,str,5140,33.2,16,"['Abductions/kidnappings', 'Body control (directly controlling a body, e.g. voodoo)', 'Coercion/blackmail', 'Dub-consensual (unclear consent)', 'Force"
Totalnonconsent1,float64,5415,34.9,16,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
powerdynamic,float64,8799,56.8,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in power dynamics? (enrhyeb),str,8741,56.4,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
"When it comes to power dynamics, you tend to prefer scenarios that are more (xjfb7yy)",str,8742,56.4,7,"['Equally brutal and caring', 'Moderately brutal/cruel', 'Moderately caring/gentle', 'Slightly brutal/cruel', 'Slightly caring/gentle', 'Very brutal/c"
"""I find primal play to be:"" (9rncgqc)",float64,8742,56.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
obedience,float64,8743,56.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
mindbreak,float64,8743,56.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
masterslave,float64,8743,56.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
mythical,float64,3808,24.6,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in mythical creatures? (xfj2rdq),str,3737,24.1,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
fulltimepower,float64,8743,56.4,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
"Of these options, which one is the most erotic? (35jn7ep)",str,2279,14.7,19,"['Airplanes/cars', 'Buildings', 'Chains', 'Clothing', 'Condoms (unused)', 'Condoms (used)']"
Totalmythical2,float64,3709,23.9,20,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
objects,float64,3229,20.8,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in your preferred object/objects? (3vnq7jt),str,3084,19.9,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
"Of these options, which one is the most erotic? (35jn7ex)",str,1990,12.8,7,"['Anal pregnancy', 'Breeding/impregnation', 'Extreme pregnancy (huge/unusual fetuses)', 'Male pregnancy', 'Ovisposition (laying eggs into someone/birt"
Totalobjects2,float64,2750,17.7,19,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"Of these options, which one is the most erotic? (35jn7ey)",str,5287,34.1,22,"['Atheletes', 'Babysitter', 'Catboys', 'Catgirls', 'Celebrities', 'Cheerleaders']"
powerdynamic2most,str,8282,53.4,18,"['Behavioral restrictions (e.g. limits on speech)', 'Bootblacking (polishing shoes submissively)', 'Breath play (choking, asphyxiation)', 'Disempowerm"
Totalpowerdynamic2,float64,8601,55.5,18,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
roles,float64,6739,43.5,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced sexual interest in specific roles? (ce5t067),str,6495,41.9,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following categories contains things you find erotic?,str,6335,40.9,7,"['Professions (e.g., firefighter, nurse, cheerleader)', 'Professions (e.g., firefighter, nurse, cheerleader),Races (ethnicity)', 'Professions (e.g., f"
Which of the following roles are erotic?,str,5388,34.8,4134,"['Atheletes', 'Atheletes,Babysitter', 'Atheletes,Babysitter,Catboys,Catgirls,Celebrities,Cheerleaders,Criminals,Doctors,Escorts/prostitutes,Geishas,Gi"
"Of these options, which one is the most erotic? (35jn7f0)",str,4732,30.5,17,"['Biting/scratching/scrapes', 'Breaking skin (needles, cutting, etc.)', 'Burning (figging, hot wax, fireplay etc.)', 'Clamping/pinching', 'Discomfort "
Totalprofession,float64,5389,34.8,22,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
pregnancy,float64,3125,20.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in pregnancy related sexual interests? (c2yvk62),str,3077,19.8,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following do you find erotic? (9d7qzaw),str,1929,12.4,176,"['""Popular kids""', '""Popular kids"",Punks/goths', '""Popular kids"",Punks/goths,Stoners', '""Popular kids"",Punks/goths,Stoners,Theater people', '""Popular "
Which of the following is erotic?,str,3020,19.5,75,"['Anal pregnancy', 'Anal pregnancy,Breeding/impregnation', 'Anal pregnancy,Breeding/impregnation,Extreme pregnancy (huge/unusual fetuses)', 'Anal preg"
"Of these options, which one is the most erotic? (35jn7ez)",str,2314,14.9,9,"['Asians', 'Black people', 'Caucasians', 'East asians', 'Middle eastern/arabic', 'Native americans']"
pregnancy2most,str,1990,12.8,7,"['Anal pregnancy', 'Breeding/impregnation', 'Extreme pregnancy (huge/unusual fetuses)', 'Male pregnancy', 'Ovisposition (laying eggs into someone/birt"
Totalpregnancy2,float64,3020,19.5,7,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
Which of the following do you find erotic? (9fkr5dx),str,1497,9.7,261,"['Asians', 'Asians,Black people', 'Asians,Black people,Caucasians', 'Asians,Black people,Caucasians,East asians', 'Asians,Black people,Caucasians,East"
"Of these options, which one is the most erotic? (35jn7f1)",str,2790,18.0,24,"['ASMR', 'Breathplay (choking, asphyxiation)', 'Constriction/compression', 'Cupping', 'Earplugs/blindfolds', 'Electricity']"
Totalsexyrace,float64,2554,16.5,9,"['1.0', '2.0', '3.0', '4.0', '5.0', '6.0']"
sensory,float64,3206,20.7,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in sensory related sexual interests? (yg5rwaa),str,2877,18.6,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
toys,float64,8408,54.2,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in scenarios involving sex toys? (iob8ewb),str,8343,53.8,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
Which of the following sensations do you find erotic?,str,2859,18.4,2561,"['ASMR', 'ASMR,Breathplay (choking, asphyxiation)', 'ASMR,Breathplay (choking, asphyxiation),Constriction/compression,Cupping,Earplugs/blindfolds,Elec"
"Of these options, which one is the most erotic? (35jn7f3)",str,1515,9.8,12,"['Age transformations (rapid aging)', 'Age transformations (rapid deaging)', 'Animal transformations', 'Body parts transformation', 'Body swapping', '"
Totalsensory2,float64,2859,18.4,24,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
"Of these options, which one is the most erotic? (35jn7f4)",str,620,4.0,17,"['Bears/lions', 'Birds', 'Cats', 'Dogs', 'Dolphins/whales', 'Fish/sharks']"
toys2most,str,8058,52.0,21,"['Anal beads', 'Anal dildos (huge)', 'Anal dildos (normal)', 'Anal hooks', 'Buttplugs', 'Double ended dildos']"
Totaltoys2,float64,8275,53.4,21,"['1.0', '10.0', '11.0', '12.0', '13.0', '14.0']"
transform,float64,1864,12.0,6,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0']"
How old were you when you first experienced interest in transformation related sexual interests? (ju7swdc),str,1734,11.2,10,"['0-4yo', '11-12yo', '13-14yo', '15-16yo', '17-18yo', '19-25yo']"
"""I find situations erotic where transformations are ___"" (d14kddh)",float64,1732,11.2,101,"['0.0', '1.0', '10.0', '100.0', '11.0', '12.0']"
Which of the following categories of transformations do you find erotic?,str,1703,11.0,658,"['Age transformations (rapid aging),Age transformations (rapid deaging),Animal transformations,Body parts transformation,Body swapping,Furries,Gender "
Totaltransform1,float64,1702,11.0,12,"['1.0', '10.0', '11.0', '12.0', '2.0', '3.0']"
"For general body transformation, which of the following is erotic?",str,992,6.4,61,"['Becoming giant (growing in size/height)', 'Becoming giant (growing in size/height),Becoming tiny (shrinking in size/height)', 'Becoming giant (growi"
Which of the following is the most severe for you? (trspees),str,4571,29.5,19,"['ADHD', 'Anorexia', 'Anxiety', 'Autism', 'Bipolar I', 'Bipolar II']"
Check all that apply: Scenarios you find erotic tend to involve *you* feeling,str,15381,99.2,5155,"['Aigreté ou désir,Amour ou romance', 'Ambivalence or disinterest', 'Ambivalence or disinterest,Calmness or serenity,Love or romance,Powerlessness or "
Check all that apply: Scenarios you find erotic tend to involve *the other person/people/creatures* feeling,str,15156,97.8,4701,"['Aigreté ou désir,Insinance ou  primate,Calme ou sérénité,Amour ou romance,Rythme ou nervosité,Cruauté ou brutalité', 'Ambivalence or disinterest', '"
"""I find the thought of masturbating alone as a biological female, to be erotic"" (sgdpy8l)",float64,12772,82.4,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
"""I find the thought of masturbating alone as a biological male, to be erotic"" (guwym9g)",float64,12772,82.4,7,"['-1.0', '-2.0', '-3.0', '0.0', '1.0', '2.0']"
Your preferred breast size in a partner is: (dnuiinj),str,8572,55.3,7,"['Big', 'Flat', 'Gigantic', 'Medium', 'Medium-big', 'Small']"
Common things: Check all the following categories that contain a thing that arouses you.,str,15333,98.9,8510,"['Appearance states: static (tattoos, bodymods, skinniness, etc.)', 'Appearance states: static (tattoos, bodymods, skinniness, etc.),Body parts: norma"
