item_id,qi,col,option,n,n_respondents,rate
34::Pacific islanders,34,Which of the following do you find erotic? (9fkr5dx),Pacific islanders,648,1497,0.433
34::Scandinavians,34,Which of the following do you find erotic? (9fkr5dx),Scandinavians,687,1497,0.459
34::Southeast asians,34,Which of the following do you find erotic? (9fkr5dx),Southeast asians,747,1497,0.499
36::ASMR,36,Which of the following sensations do you find erotic?,ASMR,1265,2859,0.442
"36::Breathplay (choking, asphyxiation)",36,Which of the following sensations do you find erotic?,"Breathplay (choking, asphyxiation)",1974,2859,0.69
36::Constriction/compression,36,Which of the following sensations do you find erotic?,Constriction/compression,853,2859,0.298
36::Cupping,36,Which of the following sensations do you find erotic?,Cupping,449,2859,0.157
36::Earplugs/blindfolds,36,Which of the following sensations do you find erotic?,Earplugs/blindfolds,1819,2859,0.636
36::Electricity,36,Which of the following sensations do you find erotic?,Electricity,733,2859,0.256
36::Feathers,36,Which of the following sensations do you find erotic?,Feathers,1263,2859,0.442
36::Messiness/goo/mud,36,Which of the following sensations do you find erotic?,Messiness/goo/mud,281,2859,0.098
36::Oil/lotion,36,Which of the following sensations do you find erotic?,Oil/lotion,1889,2859,0.661
"36::Pumps (e.g., breast/penile pumps)",36,Which of the following sensations do you find erotic?,"Pumps (e.g., breast/penile pumps)",698,2859,0.244
36::Scratching,36,Which of the following sensations do you find erotic?,Scratching,1299,2859,0.454
36::Sensory deprivation,36,Which of the following sensations do you find erotic?,Sensory deprivation,1209,2859,0.423
36::Smells (bad),36,Which of the following sensations do you find erotic?,Smells (bad),128,2859,0.045
36::Smells (good),36,Which of the following sensations do you find erotic?,Smells (good),1819,2859,0.636
36::Spicy/tingling,36,Which of the following sensations do you find erotic?,Spicy/tingling,541,2859,0.189
36::Stretching/fullness,36,Which of the following sensations do you find erotic?,Stretching/fullness,1068,2859,0.374
"36::Stuffing (nonfood, typically in genitals)",36,Which of the following sensations do you find erotic?,"Stuffing (nonfood, typically in genitals)",531,2859,0.186
36::Temperature (cold),36,Which of the following sensations do you find erotic?,Temperature (cold),1067,2859,0.373
36::Temperature (hot),36,Which of the following sensations do you find erotic?,Temperature (hot),1082,2859,0.378
36::Texture (rough),36,Which of the following sensations do you find erotic?,Texture (rough),663,2859,0.232
36::Texture (soft),36,Which of the following sensations do you find erotic?,Texture (soft),1299,2859,0.454
36::Tickling,36,Which of the following sensations do you find erotic?,Tickling,1028,2859,0.36
36::Vacuum/suckage,36,Which of the following sensations do you find erotic?,Vacuum/suckage,602,2859,0.211
36::Wax play,36,Which of the following sensations do you find erotic?,Wax play,1052,2859,0.368
39::Age transformations (rapid aging),39,Which of the following categories of transformations do you find erotic?,Age transformations (rapid aging),156,1703,0.092
39::Age transformations (rapid deaging),39,Which of the following categories of transformations do you find erotic?,Age transformations (rapid deaging),333,1703,0.196
39::Animal transformations,39,Which of the following categories of transformations do you find erotic?,Animal transformations,679,1703,0.399
39::Body parts transformation,39,Which of the following categories of transformations do you find erotic?,Body parts transformation,841,1703,0.494
39::Body swapping,39,Which of the following categories of transformations do you find erotic?,Body swapping,851,1703,0.5
39::Body transformation (general),39,Which of the following categories of transformations do you find erotic?,Body transformation (general),1062,1703,0.624
39::Furries,39,Which of the following categories of transformations do you find erotic?,Furries,684,1703,0.402
39::Gender transform (female to male),39,Which of the following categories of transformations do you find erotic?,Gender transform (female to male),431,1703,0.253
39::Gender transform (male to female),39,Which of the following categories of transformations do you find erotic?,Gender transform (male to female),901,1703,0.529
39::Inanimate transformations,39,Which of the following categories of transformations do you find erotic?,Inanimate transformations,286,1703,0.168
39::Possession,39,Which of the following categories of transformations do you find erotic?,Possession,675,1703,0.396
39::Shapeshifting,39,Which of the following categories of transformations do you find erotic?,Shapeshifting,922,1703,0.541
42::Animal body parts,42,For Which of the following categories of abnormal body states do you find erotic?,Animal body parts,584,1665,0.351
42::Extremely huge body parts,42,For Which of the following categories of abnormal body states do you find erotic?,Extremely huge body parts,536,1665,0.322
42::Extremely small body parts,42,For Which of the following categories of abnormal body states do you find erotic?,Extremely small body parts,161,1665,0.097
42::Fangs,42,For Which of the following categories of abnormal body states do you find erotic?,Fangs,1040,1665,0.625
42::Horns,42,For Which of the following categories of abnormal body states do you find erotic?,Horns,1008,1665,0.605
42::Impossibly severe obesity,42,For Which of the following categories of abnormal body states do you find erotic?,Impossibly severe obesity,89,1665,0.053
42::Massively giant people (e.g. skyscraper tall),42,For Which of the following categories of abnormal body states do you find erotic?,Massively giant people (e.g. skyscraper tall),335,1665,0.201
"42::More sexual body parts (e.g. 3 breasts, 2 penises)",42,For Which of the following categories of abnormal body states do you find erotic?,"More sexual body parts (e.g. 3 breasts, 2 penises)",632,1665,0.38
42::Oversized/giant body parts,42,For Which of the following categories of abnormal body states do you find erotic?,Oversized/giant body parts,657,1665,0.395
42::Slime/goo people,42,For Which of the following categories of abnormal body states do you find erotic?,Slime/goo people,539,1665,0.324
42::Tails,42,For Which of the following categories of abnormal body states do you find erotic?,Tails,1078,1665,0.647
"42::Tiny people (e.g., fairies)",42,For Which of the following categories of abnormal body states do you find erotic?,"Tiny people (e.g., fairies)",427,1665,0.256
42::Toothlessness,42,For Which of the following categories of abnormal body states do you find erotic?,Toothlessness,41,1665,0.025
42::Udders,42,For Which of the following categories of abnormal body states do you find erotic?,Udders,237,1665,0.142
42::Very excessive body hair,42,For Which of the following categories of abnormal body states do you find erotic?,Very excessive body hair,155,1665,0.093
"42::Very short people (e.g., dwarves)",42,For Which of the following categories of abnormal body states do you find erotic?,"Very short people (e.g., dwarves)",355,1665,0.213
"42::Very tall people (e.g., tall as a tree)",42,For Which of the following categories of abnormal body states do you find erotic?,"Very tall people (e.g., tall as a tree)",708,1665,0.425
42::Wings,42,For Which of the following categories of abnormal body states do you find erotic?,Wings,848,1665,0.509
48::Amnesia,48,Which of the following types of mental alteration do you find erotic?,Amnesia,555,2915,0.19
48::Brainwashing,48,Which of the following types of mental alteration do you find erotic?,Brainwashing,1841,2915,0.632
48::Dronification,48,Which of the following types of mental alteration do you find erotic?,Dronification,418,2915,0.143
48::Drugs,48,Which of the following types of mental alteration do you find erotic?,Drugs,1392,2915,0.478
48::Drunkenness,48,Which of the following types of mental alteration do you find erotic?,Drunkenness,1567,2915,0.538
48::Hypnotism,48,Which of the following types of mental alteration do you find erotic?,Hypnotism,2139,2915,0.734
48::Mental disabilities,48,Which of the following types of mental alteration do you find erotic?,Mental disabilities,149,2915,0.051
48::Mind control,48,Which of the following types of mental alteration do you find erotic?,Mind control,2079,2915,0.713
48::Sleeping,48,Which of the following types of mental alteration do you find erotic?,Sleeping,1653,2915,0.567
48::Trance states,48,Which of the following types of mental alteration do you find erotic?,Trance states,1522,2915,0.522
51::Amphibians,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Amphibians,33,1260,0.026
51::Bears,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Bears,80,1260,0.063
51::Birds,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Birds,33,1260,0.026
51::Cats,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Cats,128,1260,0.102
51::Dogs,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Dogs,823,1260,0.653
51::Dolphins/whales,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Dolphins/whales,78,1260,0.062
51::Fish/sharks,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Fish/sharks,42,1260,0.033
51::Foxes,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Foxes,102,1260,0.081
51::Goats,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Goats,47,1260,0.037
51::Horses,51,"When it comes to bestiality, which of the following creatures do you find erotic?",Horses,751,1260,0.596
