q,world,mode,seed,skill,lam
62,planted,hard,11,0.29337268681265705,
62,planted,soft,11,0.2164190120985191,4.0
62,real,hard,29,0.014247456356491162,
62,real,soft,29,0.04016584344670737,4.0
62,margin,hard,29,-0.060648163461373694,
62,margin,soft,29,0.0029625439423677236,4.0
62,planted,hard,29,0.33388290603571924,
62,planted,soft,29,0.23887371235029986,4.0
62,real,hard,47,0.012022754505992217,
62,real,soft,47,0.04258487220134566,4.0
62,margin,hard,47,-0.056819206649536436,
62,margin,soft,47,0.0026750484387986218,4.0
62,planted,hard,47,0.3213318892417083,
62,planted,soft,47,0.23508850376844503,4.0
63,real,hard,11,-0.030304551475577535,
63,real,soft,11,0.01616942721341208,4.0
63,margin,hard,11,-0.06694336301480064,
63,margin,soft,11,0.0014846386824476365,4.0
63,planted,hard,11,0.33544012806556567,
63,planted,soft,11,0.2264098692256925,4.0
63,real,hard,29,-0.01096131948016954,
63,real,soft,29,0.018154158465160775,4.0
63,margin,hard,29,-0.055644418160144093,
63,margin,soft,29,0.0011474555810911946,4.0
63,planted,hard,29,0.30946484117348805,
63,planted,soft,29,0.2156794273897933,4.0
63,real,hard,47,-0.01999110642202695,
63,real,soft,47,0.01722435544783585,4.0
63,margin,hard,47,-0.06758165213285572,
63,margin,soft,47,0.0012345349689570906,4.0
63,planted,hard,47,0.2872596816502585,
63,planted,soft,47,0.2105350256963857,4.0
67,real,hard,11,-0.03234083067825344,
67,real,soft,11,0.019396740768861886,4.0
67,margin,hard,11,-0.06666151515960084,
67,margin,soft,11,0.002275537915923165,4.0
67,planted,hard,11,0.2470698335418987,
67,planted,soft,11,0.17978881135880942,4.0
67,real,hard,29,-0.02344733529120069,
67,real,soft,29,0.019396202676643326,4.0
67,margin,hard,29,-0.0633976513434712,
67,margin,soft,29,0.0018092979909991591,4.0
67,planted,hard,29,0.2714474359599961,
67,planted,soft,29,0.19147373820239233,4.0
67,real,hard,47,-0.04551510366250089,
67,real,soft,47,0.01845493429378353,4.0
67,margin,hard,47,-0.0709200427116633,
67,margin,soft,47,0.0007294478328569998,4.0
67,planted,hard,47,0.25007353061854964,
67,planted,soft,47,0.1754870254658233,4.0
73,real,hard,11,0.030912276674137207,
73,real,soft,11,0.05801298159815893,4.0
73,margin,hard,11,-0.057741290238659926,
73,margin,soft,11,0.0016641418669329777,2.0
73,planted,hard,11,0.3188930682461182,
73,planted,soft,11,0.24274051503634042,4.0
73,real,hard,29,0.02278023879240232,
73,real,soft,29,0.0576658303559624,4.0
73,margin,hard,29,-0.05476597362713953,
73,margin,soft,29,0.005914733456723886,2.0
73,planted,hard,29,0.3214707492024299,
73,planted,soft,29,0.24444785840005212,4.0
73,real,hard,47,0.03922581454117813,
73,real,soft,47,0.06034764539542825,4.0
73,margin,hard,47,-0.05474447825585993,
73,margin,soft,47,0.0037541128320198736,2.0
73,planted,hard,47,0.32999868908290475,
73,planted,soft,47,0.25138598537064527,4.0
77,real,hard,11,0.030836006700850516,
77,real,soft,11,0.05407108446963205,4.0
77,margin,hard,11,-0.025240855278092056,
77,margin,soft,11,0.006638428789418893,4.0
77,planted,hard,11,0.30065384604892653,
77,planted,soft,11,0.2163798777421826,4.0
77,real,hard,29,0.0304708356489386,
77,real,soft,29,0.05391683202486863,4.0
77,margin,hard,29,-0.029105731733262252,
77,margin,soft,29,0.004849805206748048,4.0
77,planted,hard,29,0.3106783542050071,
77,planted,soft,29,0.2188961804190931,4.0
77,real,hard,47,0.030628439595071,
77,real,soft,47,0.05458200364696997,4.0
77,margin,hard,47,-0.02588478470096045,
77,margin,soft,47,0.004910704014546297,4.0
77,planted,hard,47,0.2975760448398417,
77,planted,soft,47,0.22483839830479047,4.0
83,real,hard,11,0.136477604631296,
83,real,soft,11,0.09825052742057316,2.0
83,margin,hard,11,-0.10711564641039206,
83,margin,soft,11,0.0014572138998832918,2.0
83,planted,hard,11,0.21056258811782258,
83,planted,soft,11,0.14108703540463896,2.0
83,real,hard,29,0.15837819277426302,
83,real,soft,29,0.09958315441771481,2.0
83,margin,hard,29,-0.11377186433439201,
83,margin,soft,29,0.003999064292069643,2.0
83,planted,hard,29,0.1200932698736712,
83,planted,soft,29,0.10505028319298504,2.0
83,real,hard,47,0.1400068981011574,
83,real,soft,47,0.09498189088532616,2.0
83,margin,hard,47,-0.10187397881257043,
83,margin,soft,47,0.0017902785174475078,2.0
83,planted,hard,47,0.21727583765984915,
83,planted,soft,47,0.12052556885081822,2.0
85,real,hard,11,0.0209984245491317,
85,real,soft,11,0.03797196533503955,2.0
85,margin,hard,11,-0.03268833568433549,
85,margin,soft,11,0.0003364822323413952,2.0
85,planted,hard,11,0.33153379029048535,
85,planted,soft,11,0.2558915718778607,4.0
85,real,hard,29,0.021377929722101396,
85,real,soft,29,0.040190246046208244,2.0
85,margin,hard,29,-0.05074827557254391,
85,margin,soft,29,0.0011610037480483948,2.0
85,planted,hard,29,0.29084742857175416,
85,planted,soft,29,0.20829461630787394,4.0
85,real,hard,47,0.01764420418303625,
85,real,soft,47,0.037858694897834,2.0
85,margin,hard,47,-0.038088935287260206,
85,margin,soft,47,-1.8724856450713645e-05,2.0
85,planted,hard,47,0.2913464526443761,
85,planted,soft,47,0.23205384108869576,4.0
90,real,hard,11,0.07361496452375604,
90,real,soft,11,0.09932270320756442,4.0
90,margin,hard,11,-0.06356215336266569,
90,margin,soft,11,0.003230760115533915,4.0
90,planted,hard,11,0.18636793217152714,
90,planted,soft,11,0.12797852204453808,4.0
90,real,hard,29,0.07793096187527115,
90,real,soft,29,0.10144267939732421,4.0
90,margin,hard,29,-0.08275498283588767,
90,margin,soft,29,0.001490346513046581,4.0
90,planted,hard,29,0.20252370522632823,
90,planted,soft,29,0.13352361158786707,4.0
90,real,hard,47,0.06290676742536094,
90,real,soft,47,0.0965442898899338,4.0
90,margin,hard,47,-0.07175808091438729,
90,margin,soft,47,0.002603649317336365,4.0
90,planted,hard,47,0.27020151495197176,
90,planted,soft,47,0.1662859779742425,4.0
92,real,hard,11,-0.018423643973832005,
92,real,soft,11,0.023340869943109688,4.0
92,margin,hard,11,-0.05446330588314119,
92,margin,soft,11,0.0008123812293184818,4.0
92,planted,hard,11,0.2875781485483173,
92,planted,soft,11,0.2156473104453055,4.0
92,real,hard,29,-0.006981690343999092,
92,real,soft,29,0.02418653697042028,4.0
92,margin,hard,29,-0.06361298972070673,
92,margin,soft,29,0.0007952266278532516,4.0
92,planted,hard,29,0.33465237548999516,
92,planted,soft,29,0.2607492743038293,4.0
92,real,hard,47,-0.015944847884586277,
92,real,soft,47,0.023034743150261883,4.0
92,margin,hard,47,-0.06020448545457879,
92,margin,soft,47,-0.0002127781788319183,4.0
92,planted,hard,47,0.2820081828075355,
92,planted,soft,47,0.2007125750554113,4.0
93,real,hard,11,0.03195742109615474,
93,real,soft,11,0.06254695705496449,4.0
93,margin,hard,11,-0.042414514033107364,
93,margin,soft,11,0.004139861283964152,4.0
93,planted,hard,11,0.3259773750135059,
93,planted,soft,11,0.23777896024054934,4.0
93,real,hard,29,0.029994255205520126,
93,real,soft,29,0.06107188178620715,4.0
93,margin,hard,29,-0.04897021595955331,
93,margin,soft,29,0.0033950546511685165,4.0
93,planted,hard,29,0.34193884853497336,
93,planted,soft,29,0.24405325475697115,4.0
93,real,hard,47,0.043436058658918864,
93,real,soft,47,0.06556765930301012,4.0
93,margin,hard,47,-0.03679572297306044,
93,margin,soft,47,0.004236345805080033,4.0
93,planted,hard,47,0.25389779417345826,
93,planted,soft,47,0.19970541204923054,4.0
