v_round,v_disc,v_mde
R444_flexibility,True,True
R445_shame_and_healing,True,True
R446_are_they_a_type,True,True
R447_both_halves,True,True
R448_beyond_its_parts,True,True
R449_stable_division_of_labour,True,True
R450_sign_across_outcomes,True,True
R451_saturating_mde_audit,True,True
R178_expansion_or_deepening,False,False
R179_is_it_reverse_recall,False,False
R180_is_there_a_boundary_at_al,False,False
R181_does_it_arrive_as_a_packa,False,False
R182_do_they_have_different_ex,False,False
R183_which_line_is_the_real_on,False,False
R184_are_the_two_sides_isomorp,False,False
R185_what_are_the_extra_dimens,False,False
R186_reprice_the_three_axes,False,False
R187_hardcoded_verdict_constan,False,False
R191_split_delta_by_the_conten,False,False
R192_is_the_breadth_link_an_ar,False,False
R193_was_the_mechanism_already,False,False
R194_are_the_two_lines_one_qua,False,False
R195_does_the_seam_hold,False,False
R196_amplify_with_forced_choic,False,False
R197_does_the_80_percent_depen,False,False
R198_redraw_114_and_101,False,False
R199_redraw_the_curveball_null,False,False
R204_person_or_item,False,False
R205_what_versus_when_same_des,False,False
R206_three_quantities_one_mach,False,False
R207_is_the_recall_bias_person,False,False
R208_position_or_content,False,False
R209_is_the_position_tendency_,False,False
R210_how_big_is_the_content_si,False,False
R211_does_leakage_need_a_noisy,False,False
R212_two_denominators_for_thre,False,False
R213_the_tenth_guard_and_a_cen,False,False
R214_does_the_public_face_prom,True,False
R215_named_defects_still_live,False,False
R216_numbers_that_left_the_pag,False,False
R217_backtest_the_gate,False,False
R218_qualifiers_stripped_from_,False,False
R219_triage_the_forty_naked_nu,True,False
R220_widen_the_window,False,False
R221_is_it_its_own_home,False,False
R222_the_seventeen_uncited_lin,False,False
R223_literals_printed_as_resul,False,False
R224_shame_and_the_position,False,False
R225_early_half_or_late_half,False,False
R226_developmental_window_or_s,False,False
R227_within_person_slope,False,False
R228_is_it_recall_distance,False,False
R229_discriminant_panel,False,False
R230_is_it_shame_or_a_general_,False,False
R231_reliability_band,False,False
R232_content_residual_against_,False,False
R233_ten_outcomes_three_terms,False,False
R234_two_loading_vectors,False,False
R235_raw_content_or_algebra,False,False
R236_desex_the_content_score,False,False
R237_matched_conditioning_both,False,False
R238_breadth_as_a_subject,False,False
R239_is_breadth_acquiescence,False,False
R240_nomological_profiles,False,False
R241_per_category_decompositio,False,False
R242_is_the_loo_shape_a_sampli,False,False
R243_the_distribution_of_rho_i,False,False
R244_rho_i_against_twenty_outc,False,False
R245_three_predictors_one_outc,False,False
R246_is_animated_written_one_a,False,False
R247_representation_or_live,False,False
R248_look_at_the_loadings,False,False
R249_do_the_loadings_replicate,False,False
R250_pairwise_block_pc_correla,False,False
R251_non_likert_panel,False,False
R252_rho_panel_controlling_age,False,False
R253_early_half_or_late_half_s,False,True
R254_category_drift_across_age,False,False
R255_rerun_with_the_original_c,False,True
R256_delta_dose_curve_over_cen,False,False
R257_within_person_split_at_14,False,False
R258_where_is_the_turning_poin,False,False
R259_bootstrap_the_whole_curve,False,False
R260_which_categories_carry_th,False,False
R261_is_it_just_item_count,False,False
R262_two_nulls_one_quantity,True,False
R263_three_nulls_on_the_late_h,False,False
R264_curveball_on_the_main_del,False,False
R265_doubly_constrained_null,False,False
R266_delta_inside_the_residual,False,False
R267_the_second_item_direction,False,False
R268_the_als_loading_as_a_pers,False,False
R269_recheck_the_retraction_wi,False,False
R270_is_the_advantage_only_in_,False,False
R271_content_structure_by_posi,False,False
R272_align_the_block_signs_and,False,False
R273_does_breadth_have_block_l,False,False
R274_is_the_breadth_profile_on,False,False
R275_do_the_breadth_types_pred,False,False
R276_does_shame_attach_only_to,False,False
R277_two_levels_one_mechanism_,False,False
R278_how_wide_is_n_over_31,True,False
R279_does_the_profile_sharpen_,True,False
R280_the_contrast_on_a_disjoin,False,False
R281_rebuild_the_shape_on_the_,False,False
R282_dose_response_for_the_per,False,False
R283_early_versus_late_acquire,False,False
R284_does_it_survive_rating_re,False,False
R285_guard_12_and_the_intersec,False,False
R286_scan_the_ledger_for_false,False,False
R287_clear_211_on_the_intersec,False,False
R288_selection_amplification_o,False,False
R289_early_or_remembers_early,False,False
R290_delta_as_a_function_of_wh,False,False
R291_which_clock_is_delta_a_fu,False,False
R292_the_rate_curve_and_whethe,False,False
R293_rate_and_delta_from_disjo,False,False
R294_guard_13_and_the_hand_wri,True,False
R295_does_rate_have_its_own_ou,True,False
R296_the_person_level_dimensio,False,False
R297_do_the_breadth_types_surv,False,False
R298_identity_drift_subrule,True,False
R299_per_person_profile_streng,True,False
R300_subtractive_power_for_the,True,False
R301_guard_11_seed_layer_and_r,True,False
R302_reissue_the_public_counts,True,False
R303_transgressive_half_on_the,False,False
R304_are_c3_and_D_the_same_thi,False,False
R305_c3_orthogonal_to_D,True,False
R306_present_other_versus_not,False,False
R307_let_the_data_name_it,False,False
R308_regress_out_the_named_can,True,False
R309_joint_r2_of_the_standing_,False,False
R311_residual_spectrum_after_s,False,False
R312_which_layer_gives_out_fir,False,False
R314_partial_disattenuation_do,False,False
R313_guard_14,False,False
R315_shared_measurement_error,False,False
R316_decide_the_caliber,False,False
R317_caliber_list_and_table_no,True,False
R319_atypicality_versus_six_co,False,False
R320_naive_rival_across_all_ou,False,False
R321_three_form_outcomes_resid,False,False
R322_can_the_nameless_thing_be,True,False
R323_form_and_shame,False,False
R324_what_does_form_point_at,False,False
R325_guard_15_and_the_scan,True,False
R326_is_rate_really_not_a_dime,True,False
R327_the_remaining_tenth_and_a,False,False
R328_rate_residual_and_form,False,False
R329_add_form_and_refresh,False,False
R330_measurement_invariance_by,False,False
R331_invariance_at_the_joint_l,False,False
R332_put_non_invariance_on_the,False,False
R333_gender_referential_split,False,False
R334_leave_one_out_which_coord,False,False
R335_shame_by_group,False,False
R336_where_does_S_drift,True,False
R337_removal_curve,False,False
R338_loadings_or_rarity_itself,False,False
R339_within_group_ruler,False,False
R340_rarity_or_count,False,False
R341_response_style_partial,False,False
R342_bootstrap_noise_floor,False,False
R343_global_vs_local_rarity,False,True
R344_most_divergent_options,False,False
R345_grid_width_audit,False,False
R346_estimator_knob,False,False
R347_nested_cv,False,False
R348_nested_correlations,False,False
R349_eigenvector_reproducibili,False,False
R350_repro_vs_n,False,False
