v_page,v_win,v_term,v_named,v_pos,v_ctx
README.md,80,pick count,False,62286,"he position score predicts **shame at +0.1185**, and it survives every control: pick count (+0.1155), sex (+0.1154), and the **content** score itself "
README.md,80,pick count,False,62682,peline the *therapeutic* item starts at +0.0937 and **collapses to +0.0075 once pick count is controlled** — so this is not a generic artifact. ⚠ At t
README.md,80,breadth,False,63364," — shame has a second route, and it is slightly the stronger one**: the third **breadth-type** component (`#229`, person-score split-half **+0.5631**)"
README.md,80,breadth,False,63641," position score. Entered together (standardised betas, n=6,717) **both survive: breadth-type-3 +0.1090, position +0.0963**. This does **not** retract "
README.md,80,breadth,False,64327,ick rate (a quantity external to the score's construction) and build a residual breadth score from each half. The **ordinary** half predicts shame at 
README.md,80,breadth,False,64934," equally). **Being broad about ordinary things goes with *less* shame; the same breadth, moved to where few people go, becomes shame.** ⚠ ""Transgressi"
README.md,80,breadth,False,65317,"282) and the between-block contrast `D` (transgressive-half minus ordinary-half breadth, +0.6785; `corr(S,D) = +0.2029`) against all 31 outcomes. Thei"
README.md,80,breadth,False,67647,"587 ± 0.0143 (**33.5× the null's own spread**), k=3 at 0.9529 (**102×**). **So ""breadth has shape, at least two dimensions"" is cross-instrument; only "
README.md,80,pick count,False,72226,74 drop is selection and range restriction and roughly 0.10 is not; controlling pick count flattens the curve to 0.123. **The relation is strongest wh
README.md,80,pick count,False,74153,"t has not yet named or tested. ⚠ **This split is partly produced by controlling pick count**: evaluated *marginally*, the position score predicts `ani"
README.md,80,pick count,False,74374, shame correlation **+0.1185** — the clean division of labour appears only once pick count is held fixed (`#192`). ⚠ **The orthogonality is constructe
README.md,80,breadth,False,74868,urely idiosyncratic combinations are invisible to it  ⚠ **`#227` — 这个「内容」维度的正名是 breadth（你对多少东西说「是」），不是内容口味**：the block-level principal components were
README.md,80,breadth,False,75171,", so every content person-score behind `#188`/`#189` is a partially cancelling ±breadth mixture. Aligned by **leave-one-out sign consensus** (15 of 32"
README.md,80,pick count,False,75296,"ign consensus** (15 of 32 blocks flip), the dimension correlates **+0.8320 with pick count**, and **+0.5772 even after the position score is removed**"
README.md,80,breadth,False,76260,ks per half a random-sign sum keeps ~1/√16 of a strong common signal. **The raw breadth reading does not depend on any of this**: it is +0.8320 aligne
README.md,80,breadth,False,76412,"and **+0.5154 unaligned**, both above the registered 0.5  ⚠ **`#228` — and that breadth is not a single response style**: split the options *inside* e"
README.md,80,breadth,False,76628,"n×block cell, so every block-level property cancels — and a person's **residual breadth profile across blocks replicates at +0.4290 ± 0.0141** (77,872"
README.md,80,breadth,False,77200,".429, because the phenomenon is already there**. Scope is narrow: this refutes «breadth is *only* a global response style», **not** «the global level "
README.md,80,category count,False,79905,"e by whether they reported **≥8 onsets by age 14**, and match the rest on total category count (both medians 14). The early-accumulating group gives *"
README.md,80,category count,False,85747,"ve. ⚠ Connectivity has **no knee** (1.6×), so ""closes at 17"" holds only for the category count | `#135` `#136` | | **For a third of people the map clo"
README.md,80,category count,False,86882,"ithin-person measurement, no cross-sectional assumption). Cross-sectionally the category count grows only from 12.4 to 12.9 over fifteen years (+4.5%;"
README.md,80,breadth,False,87408," person's own permutation spread this is z = −0.5515**, and **every one of five breadth strata is resolvably negative (17.5–27.3×) — the effect is uni"
README.md,80,breadth,False,87766,after normalisation the residual gradient is *smaller* than what a deliberately breadth-independent planted effect produces. The content line does not
README.md,80,breadth,False,97853,"** (119 pairs, agreement 1.0000); display order is destroyed `#69` | | Separate breadth from acquiescence | Needs reverse-keyed or forced-choice items"
README.md,80,breadth,False,98523,"nset age, its onset spread, its holders' mean position score, its holders' mean breadth-type score) give **R² = 0.024** against a permutation null of "
README.md,80,breadth,False,107303,"ction)** — the retrospective induction claim, its two absent signatures and the breadth it actually tracks are stated once in the standing-claims tabl"
README.md,80,breadth,False,108003,tion is unusable as an outcome measure — phase 3 must be prospective.  **[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is on
README.md,80,breadth,False,108016,ble as an outcome measure — phase 3 must be prospective.  **[R07 · breadth](A07_breadth)** — Quantity without shape. A person's set is only **0.88%** 
README.md,80,breadth,False,108471, index that is orthogonal to the POWER axis (+0.024) but correlates +0.385 with breadth itself; response style and erotic endorsement cannot be separa
README.md,80,breadth,False,108618,"arated without balanced-keyed items, which this release lacks.  **[E01·R05 · is breadth the object](E01_sexual_as_a_value_not_a_category/A05_is_breadt"
README.md,80,breadth,False,108682,**[E01·R05 · is breadth the object](E01_sexual_as_a_value_not_a_category/A05_is_breadth_a_nuisance_or_the_object)** — Nearly domain-encapsulated. All 
README.md,80,breadth,True,109008,"gated `totalfetishcategory` with acquiescence controlled, childhood adversity → breadth is **r = +0.059, effect/floor 7.5** — real and small, matching"
README.md,80,breadth,False,109363,") *and* independently with the coordinates (**0.0439** after matching coverage, breadth and sex — 3.6× the neuroticism reference). Direction is unavai"
README_zh.md,80,广度,True,1538,"中位 **0.345pp** —— **相当于中位结局已解释方差的 18.2%** —— 而且结局越好解释,这个成分越大(`r` = **+0.609**)。把广度代理换成块覆盖数后它仍在(25/29 为正;两个代理的共享向量相关 **+0.892**)。⚠ 共同性是**记账项**不是因果量:它只说"
README_zh.md,80,勾选数,False,1967," > **B 已死**(`#179`:位置不是一个不带立场的坐标 —— 它带着羞耻)。 > **C 唯一可分的预测没有支持**(`#234a`:按羞耻分层、匹配勾选数,宽度剖面的两半复现是 > **0.4672 / 0.4611 / 0.4718** —— 平的,而这个设计的正对照在比 C 所预测的"
README_zh.md,80,勾选数,False,2700,| | **位置分 S** —— 你挑的选项有多冷门 | **+0.432** | 块(32 道多选) | 未验 | **+0.1185** | 9/20 | 勾选数已控(+0.1155)· 性别 · 内容分 | | **跨块对比 D** —— 你在哪些领域敞开 | **+0.6785** | 块 
README_zh.md,80,勾选数,False,2965,"2 ± 0.0171,即**上限的 86%**;低于上限是可分辨的(7.7 个展布),但绝对差只有 0.13。保留两行是因为残差可分辨,不是因为它们独立。 | 勾选数在起始仪器上几乎不存在(+0.0428) | | **宽度剖面** —— 你被打开的形状 | **+0.4290** | 块 | **"
README_zh.md,80,勾选数,False,3189,"*29 里 8,跨六个选项劈半种子读作 3–13**(`#255` —— ⚠ `#254` 的「什么都不预测」**已撤回**:那个读数来自一个不巧的种子) | 勾选数已控 · 块层属性已排除(`#228b`) | | 宽度类型 c1 | **+0.6429** | 块 | 未验 | `UNCOMPU"
README_zh.md,80,勾选数,False,3301,"型 c1 | **+0.6429** | 块 | 未验 | `UNCOMPUTED` | 13 → **控制后 9,读作 6–12**(`#257`) | **勾选数 · 性别 · 位置分 S 三重已控**(`#252`) | | 宽度类型 c2 | **+0.5778** | 块 | 未验 | `"
README_zh.md,80,勾选数,False,3419,"类型 c2 | **+0.5778** | 块 | 未验 | `UNCOMPUTED` | 11 → **控制后 6,读作 4–8**(`#257`) | **勾选数 · 性别 · 位置分 S 三重已控**(`#252`) | | **宽度类型 c3 —— *你把开放花在哪儿*** | **+0.5"
README_zh.md,80,类别数,False,3644,"| **+0.1286** | 21 → **控制后 19,读作 17–21**(`#257`) | 与位置分只相关 +0.2036,同时进回归两个都活;控制总类别数后差**变大**到 +0.4905 ⚠ **`#366`:这条路没有另外两条干净。** 拿 **20** 个**非坐标**人层量做 p"
README_zh.md,80,广度,False,5986,"**),所以去衰减后是 **+0.1293**(自助 95% 区间 **[+0.088, +0.167]**,`#320`) —— 与位置分(+0.1185)和广度型 c3(+0.1286)同量级。它扛住了答题风格的控制(去衰减 **+0.0791**,保留 61%)。缺席的不是信号,而是它的**独"
README_zh.md,80,计数,True,6395,"度。用一道**措辞把方向锁死**的同族题来标定整个家族 —— *「我已经实践过所有唤起我的东西」*,若「值越高 = 越同意」,它**必须**随一个人认可的性行为计数上升 —— 对两个计数锚给出 **+0.118** 与 **+0.056**。**所以「值越高 = 越同意」成立,而本页每一条羞耻结论此"
README_zh.md,80,计数,True,6406,"向锁死**的同族题来标定整个家族 —— *「我已经实践过所有唤起我的东西」*,若「值越高 = 越同意」,它**必须**随一个人认可的性行为计数上升 —— 对两个计数锚给出 **+0.118** 与 **+0.056**。**所以「值越高 = 越同意」成立,而本页每一条羞耻结论此前都压在一个从未被验证"
README_zh.md,80,计数,True,6492,"**+0.118** 与 **+0.056**。**所以「值越高 = 越同意」成立,而本页每一条羞耻结论此前都压在一个从未被验证的假设上。**  ⚠ 另外,两个计数锚对这两题**给出相反的符号** —— 被画的与写的东西唤起,与**认可的性行为数**是 **−0.076 / −0.062**,与**"
README_zh.md,80,类别数,True,6564," ⚠ 另外,两个计数锚对这两题**给出相反的符号** —— 被画的与写的东西唤起,与**认可的性行为数**是 **−0.076 / −0.062**,与**恋物类别数**是 **+0.095 / +0.035** —— 那是一个**实质的分裂**,不是仪器失灵。 ⚠ **`#420`:而它经得起一次"
README_zh.md,80,计数,True,6682,"的分裂**,不是仪器失灵。 ⚠ **`#420`:而它经得起一次正式的检验。** 控制 `S`、`c3⁻`、羞耻与年龄之后,`form` 分数对**认可的性行为计数**是 **−0.076**(阈 0.019),对**恋物类别计数**是 **+0.049**(阈 0.022),两者都越过由「打乱 `"
README_zh.md,80,计数,True,6715,"式的检验。** 控制 `S`、`c3⁻`、羞耻与年龄之后,`form` 分数对**认可的性行为计数**是 **−0.076**(阈 0.019),对**恋物类别计数**是 **+0.049**(阈 0.022),两者都越过由「打乱 `form` 分数本身」构造的 offset 零 —— **反号,而"
README_zh.md,80,计数,False,6797,"**是 **+0.049**(阈 0.022),两者都越过由「打乱 `form` 分数本身」构造的 offset 零 —— **反号,而且两个都存活**;而两个计数彼此相关 **+0.373**,所以「共线残留」并不是稻草人。**对画的与写的东西有反应的人,想要的**种类**更多,而做过的**事**"
README_zh.md,80,计数,False,6906,"稻草人。**对画的与写的东西有反应的人,想要的**种类**更多,而做过的**事**更少 —— 而这不是口味整体上更冷门造成的,那一条已经控掉了。**  ⚠ 两个计数都是自报并各自标准化,所以只比符号与是否越阈;这个分裂是描述,不是因果主张。 ⚠ **`#421`:而本页所说的「广度」**不是一个量*"
README_zh.md,80,广度,True,6965,"造成的,那一条已经控掉了。**  ⚠ 两个计数都是自报并各自标准化,所以只比符号与是否越阈;这个分裂是描述,不是因果主张。 ⚠ **`#421`:而本页所说的「广度」**不是一个量**。** 把实际用过的五个广度量列举出来 —— 起始类别数、恋物类别数、认可的性行为数、块覆盖数、总勾选项数 —— 它"
README_zh.md,80,广度,True,6989,"是自报并各自标准化,所以只比符号与是否越阈;这个分裂是描述,不是因果主张。 ⚠ **`#421`:而本页所说的「广度」**不是一个量**。** 把实际用过的五个广度量列举出来 —— 起始类别数、恋物类别数、认可的性行为数、块覆盖数、总勾选项数 —— 它们的 10 对两两相关里**只有 6 对达到 0"
README_zh.md,80,类别数,True,7002,"比符号与是否越阈;这个分裂是描述,不是因果主张。 ⚠ **`#421`:而本页所说的「广度」**不是一个量**。** 把实际用过的五个广度量列举出来 —— 起始类别数、恋物类别数、认可的性行为数、块覆盖数、总勾选项数 —— 它们的 10 对两两相关里**只有 6 对达到 0.6**。起始类别数、块覆"
README_zh.md,80,类别数,True,7008,"越阈;这个分裂是描述,不是因果主张。 ⚠ **`#421`:而本页所说的「广度」**不是一个量**。** 把实际用过的五个广度量列举出来 —— 起始类别数、恋物类别数、认可的性行为数、块覆盖数、总勾选项数 —— 它们的 10 对两两相关里**只有 6 对达到 0.6**。起始类别数、块覆盖数与总勾选"
README_zh.md,80,类别数,True,7066,"的五个广度量列举出来 —— 起始类别数、恋物类别数、认可的性行为数、块覆盖数、总勾选项数 —— 它们的 10 对两两相关里**只有 6 对达到 0.6**。起始类别数、块覆盖数与总勾选项数彼此 **+0.83 ~ +0.86**,表现得像**一件事**(一个人在这份问卷里卷入了多少);恋物类别数在它"
README_zh.md,80,类别数,True,7131," 6 对达到 0.6**。起始类别数、块覆盖数与总勾选项数彼此 **+0.83 ~ +0.86**,表现得像**一件事**(一个人在这份问卷里卷入了多少);恋物类别数在它的边缘(+0.62 ~ +0.74);**而认可的性行为数是落单的那一个,与其余只有 +0.26 ~ +0.51** —— 最弱的"
README_zh.md,80,类别数,True,7209,"恋物类别数在它的边缘(+0.62 ~ +0.74);**而认可的性行为数是落单的那一个,与其余只有 +0.26 ~ +0.51** —— 最弱的一环正是它与恋物类别数的 **+0.2615**。**所以「广度」至少是两个东西 —— 你对多少种东西有兴趣,和你实际做过多少事 —— 而上面那个 `for"
README_zh.md,80,广度,True,7231,"74);**而认可的性行为数是落单的那一个,与其余只有 +0.26 ~ +0.51** —— 最弱的一环正是它与恋物类别数的 **+0.2615**。**所以「广度」至少是两个东西 —— 你对多少种东西有兴趣,和你实际做过多少事 —— 而上面那个 `form` 分数把这两者推向相反的方向。** 因此"
README_zh.md,80,勾选数,False,10958,"。连续交互系数 **−0.0150**,置换零 +0.0051 ± 0.0135,而同一个检验把植入的 0.15 交互认成 **+0.1502**。它扛住了控制勾选数与分性别(−0.024 … −0.008)。**这是一个有功效的零,不是证据的缺席。** ⚠ ** 这个交互零带着它自己的分辨率:**"
README_zh.md,80,类别数,False,11453,"开这件事:「如果非常努力,你能停止被它唤起吗」(*Impossible* … *稍微努力就行*)与「我已经实践过所有唤起我的东西」。控制 `S`、`c3⁻` 与类别数后,羞耻对「实践了多少」是 **−0.0833**(se 0.0123),越过它自己的置换阈 0.0238 达 **−6.85 sd*"
README_zh.md,80,类别数,False,12788,"了。 ⚠ **`#388`:而真正预测这个信念的,是「普通的东西对你也有用」。** 把 112 个数值型人层量对着信念的残差(已去掉实践量、`S`、`c3⁻`、类别数与羞耻)扫一遍,最大的是 **+0.0888**,对着「112 个合成噪声列取最大」的阈 0.0419;而头几名是同一个家族 —— 说"
README_zh.md,80,计数,True,13106,"全问卷恰好五个),而它们的取值只跑遍 {0, −1, −2, −3, −5, −8},**从不为正**,**众数是 −8**,0 最罕见。用两个方向由构造固定的计数变量作锚:五题平均与 `Totalsexacts` 相关 **−0.4502**、与勾选类别总数 **−0.1866** —— 两锚同号"
README_zh.md,80,计数,True,13346,"起作用。** 于是 +0.1255 的读法是:**普通的东西对一个人越不起作用,他越相信自己能停下来。**  ⚠ 而构念也不是「常规内容」—— 它与认可的性行为计数相关 −0.45,有很大一块只是**整体性唤起度取反**。原来的读法保留在下面而不是删掉,因为这件事值得记下来的地方正是:**四轮的门全"
README_zh.md,80,类别数,False,13962,"个分数也预测羞耻 —— 它是两件**彼此无关**的事的共同前项。** 方向订正之后,五题分数预测羞耻:原始 **+0.0827**,控制 `S`、`c3⁻` 与类别数后 **+0.0657**(se 0.0126),越过置换阈 0.0247 达 **+5.10 sd**。所以普通的东西对一个人越不起"
README_zh.md,80,类别数,False,14861,"局去扫 —— 「参与/幻想那些唤起我的东西对我是疗愈的」—— 又找到两条,而它们**不是一个构念**。** 那道题不是羞耻取反:去掉羞耻、`S`、`c3⁻` 与类别数后,残差里仍有结构(最大 \|r\| **0.1187**,对着「112 个合成噪声列取最大」的阈 0.0442,21 个候选里 10"
README_zh.md,80,计数,True,17060,"0.16、轮廓清晰度 −0.09 也都越过 2.73 的族内阈。**但用一个既不是羞耻、也不是我的读法的锚**把八个量都定向到「更卷入」—— 即**认可的性行为计数**,它的方向由「它是一个计数」固定,且不参与四格的定义 —— **只有 8 个里的 6 个指向「更淡」,而 offset 零是 3.9"
README_zh.md,80,计数,True,17075,"9 也都越过 2.73 的族内阈。**但用一个既不是羞耻、也不是我的读法的锚**把八个量都定向到「更卷入」—— 即**认可的性行为计数**,它的方向由「它是一个计数」固定,且不参与四格的定义 —— **只有 8 个里的 6 个指向「更淡」,而 offset 零是 3.96 ± 1.46,它的 95 "
README_zh.md,80,计数,False,18646,"2.47 sd 越阈 —— 擦线 —— 而结局之间的相关会**抬高**一致性,所以偏差朝着结论的方向。**  ⚠ MDE 扫描**每一级都饱和**,因为**符号计数**这种统计量几乎没有动态范围:这个设计的 MDE **不可测**,而那与「很小」不是一回事。**所以形如「`S` 高的人如何如何」的句"
README_zh.md,80,类别数,False,19160,"描未饱和。 ⚠ **`#411`:而在**从没有过性伴**的人身上,羞耻几乎完全不压制行动。** 把「羞耻 → 实践」按性伴数(0 vs ≥1)分层,控制年龄、类别数,窄臂另控 `S` 与 `c3⁻`:系数在从没有过性伴的人身上是 **−0.015**,在其余人身上是 **−0.077**,差 **"
README_zh.md,80,广度,False,19483,"都分不开它们。** ⚠ 宽窄两口径是不同人群,而宽臂去掉了 `S` 与 `c3⁻`(它们需要 ≥8 个块)。 ⚠ **`#390`:放进同一个模型,强度活下来、广度塌掉 —— 那次收回被一个**事先注册**的检验撤销。** 两项同时在场时(它们相关 −0.37,所以「共线到两个都塌」那个世界不成立)"
README_zh.md,80,计数,False,19617,"共线到两个都塌」那个世界不成立),评分式的**强度**分数保持 **+0.1255**(se 0.0131,阈 0.0253,由两列**一起**打乱给出),而块计数式的**广度**分数从单独放的 −0.0430 掉到 **−0.0009**。所以 `#389` 的 −0.026 是**广度在替强度说"
README_zh.md,80,广度,False,19623,"塌」那个世界不成立),评分式的**强度**分数保持 **+0.1255**(se 0.0131,阈 0.0253,由两列**一起**打乱给出),而块计数式的**广度**分数从单独放的 −0.0430 掉到 **−0.0009**。所以 `#389` 的 −0.026 是**广度在替强度说话**。**"
README_zh.md,80,广度,False,19680,"由两列**一起**打乱给出),而块计数式的**广度**分数从单独放的 −0.0430 掉到 **−0.0009**。所以 `#389` 的 −0.026 是**广度在替强度说话**。**三个结局与各自的预测都写在跑之前**,而 kill 为「复位」那一个开火 —— 一次收回站了整整一轮,由预注册的检"
README_zh.md,80,类别数,False,22657,"每个人都是从普通的地方开始的,而这个次序是个人的,不只是人口学的。** ⚠ **`#371`:而反过来的那少数人,更羞耻。** 把羞耻回归到这个人内次序上,控制类别数与 `S`:宽口径(n = 11,535)**−0.0287**(95% CI [−0.047, −0.011],距打乱人的零 −3."
README_zh.md,80,计数,False,25525,"ength it was actually measured. The ledger entry is the receipt. > ⚠ **本页所有「N/M」计数都是区间,不是确定值**(`#233`)。全族阈值是从置换零里重抽估出来的,计数随它移动。25 次独立重抽实测:位置分读作 31 里的 "
README_zh.md,80,计数,False,25565,"er entry is the receipt. > ⚠ **本页所有「N/M」计数都是区间,不是确定值**(`#233`)。全族阈值是从置换零里重抽估出来的,计数随它移动。25 次独立重抽实测:位置分读作 31 里的 **19–21**,跨块对比 **6–12**,宽度成分 1 **10–12**"
README_zh.md,80,勾选数,False,27267,"身展布,方向是**升**);而同样的处理让一个纯**性别驱动**的位置种植塌到 **−0%**、让一个纯**个人**的位置种植存活到 **+0.986**;移除勾选数后存活 **67%**,而且它与勾选数的相关(+0.608)**低于**零的(+0.719) 。**而它也不是一个更大的「内容」维度的"
README_zh.md,80,勾选数,False,27286,"理让一个纯**性别驱动**的位置种植塌到 **−0%**、让一个纯**个人**的位置种植存活到 **+0.986**;移除勾选数后存活 **67%**,而且它与勾选数的相关(+0.608)**低于**零的(+0.719) 。**而它也不是一个更大的「内容」维度的投影**(`#165`):直接在**选"
README_zh.md,80,勾选数,False,27623,"羞耻** | 两道与块**零 item 重叠**的独立 Likert 题(n=15,503):位置分预测**羞耻 +0.1185**,并且穿过每一层控制 —— 勾选数(+0.1155)、性别(+0.1154)、**内容分本身**(**+0.1132,9.0× 自身自助 sd**)。内容只中介 **4"
README_zh.md,80,勾选数,False,27786,"跟着**你喜欢哪些家族走。跨人打乱羞耻给 **+0.0008 ± 0.0118**(效应的 1%)。内部判别:同一条管道上「疗愈」从 +0.0937 **一控制勾选数就塌到 +0.0075** —— 所以这不是通用的方法学假象。⚠ 最严门槛(≥16 块,n=950)上羞耻衰减到 +0.0156;7 "
README_zh.md,80,勾选数,False,32125,"间不重叠。**一个真值固定的合成关系在同一批阈上也会掉 0.074**,所以观测到的 0.174 的下降里约 43% 是选择与全距受限,约 0.10 不是;控制勾选数后曲线压平到 0.123。**这个关系在 `S` 被测得最差的地方最强、在测得最好的地方消失** —— 与测量误差的方向相反,而本项目"
README_zh.md,80,勾选数,False,32990,"刻度对是 −0.2673。它们不是一条轴的两端;内容维度预测的是两者**共有**的东西,而那个东西本项目**尚未命名也未检验**。⚠ **这个分工有一部分是控制勾选数造出来的**:**边际**评估下位置分对 `animated` = **+0.1193(10.0×)**,与它对羞耻的 **+0.11"
README_zh.md,80,勾选数,False,33089,"位置分对 `animated` = **+0.1193(10.0×)**,与它对羞耻的 **+0.1185** 在同一把尺上不可分 —— 干净的分工只在**给定勾选数**之后才出现(`#192`)。⚠ **正交性是构造出来的,而原始的两个维度根本不正交**:人层 `corr(S, C) = +0.4"
README_zh.md,80,breadth,False,33299,"维度、和另一个扣掉它之后的余量**,不是两个独立的东西,而内容分是跨人主成分,完全特异的组合对它不可见  ⚠ **`#227` —— 这个「内容」维度的正名是 breadth(你对多少东西说「是」),不是内容口味**:块层主成分被**直接相加而从没对齐符号** —— `np.linalg.eigh`"
README_zh.md,80,breadth,False,33449," 的特征向量符号任意,32 个块里 **17 个指向一边、15 个指向另一边**,所以 `#188`/`#189` 背后的每一个内容人分,都是一个部分相消的 ±breadth 混合。用**留一共识法**对齐后(32 个块翻了 15 个),这个维度与**勾选数相关 +0.8320**,而且**扣掉位置"
README_zh.md,80,勾选数,False,33495,"188`/`#189` 背后的每一个内容人分,都是一个部分相消的 ±breadth 混合。用**留一共识法**对齐后(32 个块翻了 15 个),这个维度与**勾选数相关 +0.8320**,而且**扣掉位置分之后仍有 +0.5772**。三个具名方向**全部同号存活** —— `animated`"
README_zh.md,80,breadth,False,33947,"— 我注册的是「未对齐必须低于 0.30」,而这个地板是我**选的,不是量的**;每半 16 个块时,随机符号和仍会保留强共同信号的 ~1/√16。**原始的 breadth 读数不依赖这一切**:对齐 +0.8320、**未对齐 +0.5154**,两个都过注册的 0.5  ⚠ **`#228` "
README_zh.md,80,breadth,False,34024,"始的 breadth 读数不依赖这一切**:对齐 +0.8320、**未对齐 +0.5154**,两个都过注册的 0.5  ⚠ **`#228` —— 而这个 breadth 不是单一的回答风格**:把每个块**内部的选项**劈成两半 —— 那是对同一个人×块格子的两次独立测量,块层的一切属性都被扣"
README_zh.md,80,breadth,False,34336," vs 要求的 0.4893)且我没有事后改它 —— **它要求的增量是对着零定价的,而基线是 +0.429,因为现象本来就在那儿**。作用域也窄:它否掉的是「breadth **只是**一个全局回答风格」,**不是**「全局水平里不含回答风格」 | `#188` `#189` `#192` `#2"
README_zh.md,80,类别数,False,35602,"置换零是效应的 30% ⚠ **`#243` —— 而它根本不是一个人群效应**:按「**14 岁前是否报了 ≥8 个起始年龄**」把人分开,并把其余人按**总类别数**匹配(两组中位都是 14)。早期积累组给出 **Δ = −0.1407 ± 0.0062**(n=2,806),类别数匹配的非早期"
