v_entry,grid,retr
781,True,True
782,True,True
783,True,True
784,False,True
785,False,True
786,False,False
787,False,False
788,True,False
789,False,True
790,False,True
791,True,True
792,False,False
793,False,False
794,True,True
795,True,False
796,True,False
797,False,True
798,True,True
799,False,False
800,False,False
801,False,False
802,False,False
803,True,False
804,True,False
805,True,True
806,True,True
807,False,False
808,False,True
809,True,False
810,False,False
811,False,False
812,True,False
813,True,False
814,True,False
815,True,False
816,True,False
817,False,False
818,False,False
819,True,True
820,True,False
821,True,True
822,True,False
823,True,True
824,True,False
825,True,False
826,True,False
827,True,False
828,False,True
829,False,False
830,False,False
831,False,False
832,True,False
833,True,False
834,True,False
835,False,True
836,False,True
837,False,True
838,True,True
839,True,True
840,False,True
841,False,False
842,True,True
843,False,True
844,True,False
845,False,False
846,False,True
847,False,False
848,False,False
849,False,False
850,False,False
851,False,False
852,False,False
853,True,False
854,False,False
855,False,False
856,True,False
857,False,False
858,False,False
859,False,False
860,False,False
861,False,False
862,True,False
863,False,False
864,False,False
865,True,False
866,False,False
867,True,False
868,True,False
869,False,False
870,False,False
871,False,False
872,True,False
873,True,False
874,True,False
