entry,in_ledger,round,scan,source,why,files
114,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
115,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
116,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
117,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
118,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
119,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
120,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
122,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
128,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
129,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
130,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
131,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
132,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
133,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
134,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
135,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
136,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
137,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
138,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
139,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
140,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
141,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
142,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
143,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
144,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂",README_zh.md
146,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
147,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
148,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
149,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
150,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
151,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
152,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
153,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
154,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
157,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
159,True,E01·A03·R003,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
160,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
161,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
162,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
163,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
164,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
165,True,E01·A03·R003,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
167,True,E01·A04·R004,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
168,True,E01·A04·R004,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
169,True,E01·A04·R004,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
179,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
184,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
186,True,E01·A05·R005,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
188,True,E01·A05·R005,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
189,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
192,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
201,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
202,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
211,True,E01·A05·R005,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
212,True,E01·A05·R005,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
213,True,E01·A05·R005,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
218,True,E01·A05·R005,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
227,True,E01·A06·R006,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
228,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
229,True,E01·A06·R008,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
230,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
231,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
232,True,E01·A06·R008,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
233,True,E01·A06·R009,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
234,True,E01·A06·R008,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
235,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
236,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
237,True,E01·A06·R006,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
238,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
239,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
241,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
243,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
245,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
247,True,E01·A06·R006,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
251,True,E01·A06·R010,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
252,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
254,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
255,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
257,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
258,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
259,True,E01·A06·R007,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
264,True,E01·A06·R011,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
270,True,E01·A07·R012,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
271,True,E01·A07·R012,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
277,True,E01·A07·R013,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
278,True,E01·A07·R013,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
283,True,E01·A07·R013,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
285,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
286,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
288,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
289,True,E01·A07·R013,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
290,True,E01·A07·R015,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
293,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
294,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
296,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
298,True,E01·A07·R014,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
299,True,E01·A07·R014,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
301,True,E01·A07·R016,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
302,True,E01·A07·R016,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
303,True,E01·A07·R014,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
304,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
308,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
311,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
316,True,E01·A07·R013,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
320,True,E01·A07·R013,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
321,True,E01·A07·R017,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
324,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
325,True,E01·A07·R018,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
327,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
330,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
332,True,E01·A07·R014,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
334,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
337,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
338,True,E01·A08·R020,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
339,True,E01·A08·R020,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
343,True,E01·A08·R020,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
346,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
347,True,E01·A127·R392,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
350,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
356,True,E01·A08·R021,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
357,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
358,True,E01·A08·R022,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
360,True,E01·A08·R023,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
363,True,E01·A08·R023,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
366,True,E01·A08·R024,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
367,True,E01·A08·R024,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
368,True,E01·A08·R024,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
369,True,E01·A08·R024,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
370,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
371,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
372,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
373,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
374,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
375,True,E01·A08·R024,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
380,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
381,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
384,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
385,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
386,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
387,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
388,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
389,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
390,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
391,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
392,True,E01·A08·R024,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
395,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
396,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
397,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
398,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
399,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
401,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
402,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
403,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
404,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
405,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
406,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
409,True,E01·A08·R019,NO_SPREAD,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
411,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
414,True,E01·A08·R019,NO_SPREAD,null_零臂,artifact 里真实臂只有一行,"README.md,README_zh.md"
415,True,E01·A09·R025,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
416,True,E01·A09·R025,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
417,True,E01·A09·R025,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
418,True,E01·A09·R025,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
419,True,E01·A09·R026,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
420,True,E01·A09·R026,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
421,True,E01·A09·R026,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
422,True,E01·A09·R026,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
423,True,E01·A09·R027,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
424,True,E01·A09·R028,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
429,True,E01·A09·R029,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
433,True,E01·A09·R030,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
434,True,E01·A09·R031,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
435,True,E01·A09·R031,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
436,True,E01·A09·R032,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
437,True,E01·A09·R032,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
439,True,E01·A09·R033,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
440,True,E01·A09·R034,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
441,True,E01·A09·R035,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
442,True,E01·A09·R029,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
443,True,E01·A09·R036,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
444,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
445,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
446,True,E01·A09·R037,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
447,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
448,True,E01·A09·R037,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
449,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
450,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
451,True,E01·A09·R037,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
452,True,E01·A09·R026,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
