page,pos,token,ctx,fixed_denom,effect_denom,has_interval,candidate
README.md,23955,97.2%," state is) = +0.1317, disattenuated +0.1910**; **removing the latter entirely leaves the four sexual items 98.0% as coherent, and 97.2% even assuming the control is perfectly reliable**. ⚠ The thing most likely to fool me her",0,0,0,0
README.md,25136,97%,th units give the same direction through completely different magnitudes (+0.6558 vs ≤+0.3030 at the society level; +0.13 against 97% retention at the person level) — exactly the shape `#737` established: direction transfer,0,1,0,1
README.md,25655,59.5%,"NEXT. On a second person-level instrument (MFQ, n=7267): **ρ(sex, general morality) = +0.3161, and partialling it out leaves only 59.5%** — **the two instruments disagree.** Do not average; find the assumption they differ on:",0,0,0,0
README.md,26055,94.9%,") = +0.0060 · (fairness) = −0.1685 · (ingroup) = +0.4194 · (authority) = +0.5001**; **partialling out harm+fairness leaves sex at 94.9%, agreeing with GSS's 97.2%; partialling out ingroup+authority leaves 60.6%.** ⇒ **How str",0,0,0,0
README.md,26082,97.2%,"−0.1685 · (ingroup) = +0.4194 · (authority) = +0.5001**; **partialling out harm+fairness leaves sex at 94.9%, agreeing with GSS's 97.2%; partialling out ingroup+authority leaves 60.6%.** ⇒ **How strict a person is about sex h",0,0,0,0
README.md,26130,60.6%,".5001**; **partialling out harm+fairness leaves sex at 94.9%, agreeing with GSS's 97.2%; partialling out ingroup+authority leaves 60.6%.** ⇒ **How strict a person is about sex has almost nothing to do with whether they think ",0,0,0,0
README.md,29349,63.6%,"h correlations are high"" may be one thing rather than two. Cut them apart: **partialling out ingroup leaves chastity×authority at 63.6% (14.0× its own null), while partialling out authority leaves chastity×ingroup at 26.5% (s",0,0,0,0
README.md,29436,26.5%,"g out ingroup leaves chastity×authority at 63.6% (14.0× its own null), while partialling out authority leaves chastity×ingroup at 26.5% (still 4.9× its own null, so not zero).** ⚠ **Neither pre-registered threshold was met, a",0,0,0,0
README.md,29703,75%,"than re-run with adjusted ones** — a threshold chosen after seeing the result is a narrative. **What could not be decided was the 75% I picked, not the world**: both partials sit far above their own nulls, so whether there ",0,0,0,0
README.md,33388,**80%,"n is **0.20×** that, below the noise floor; and injecting lead strengths of 0.1→0.8 gives detection rates of only 0.044→0.551, so **80% power is unreachable anywhere on the grid**. ⚠ Worth stating precisely: the detrended res",0,0,0,0
README.md,34539,87.7%,"SS probability sample (n≈16,000), partialling out `polviews` entirely leaves **`obey`'s link to the four sexual items at a median 87.7%** (86–90%), with a specification curve of **87.9% (linear) / 87.4% (seven dummies) / 78.6",0,0,0,0
README.md,34551,90%,"ty sample (n≈16,000), partialling out `polviews` entirely leaves **`obey`'s link to the four sexual items at a median 87.7%** (86–90%), with a specification curve of **87.9% (linear) / 87.4% (seven dummies) / 78.6% (plus ye",0,0,0,0
README.md,34587,**87.9%,"t `polviews` entirely leaves **`obey`'s link to the four sexual items at a median 87.7%** (86–90%), with a specification curve of **87.9% (linear) / 87.4% (seven dummies) / 78.6% (plus year dummies)** — all three on the same si",0,0,0,0
README.md,34606,87.4%,"ly leaves **`obey`'s link to the four sexual items at a median 87.7%** (86–90%), with a specification curve of **87.9% (linear) / 87.4% (seven dummies) / 78.6% (plus year dummies)** — all three on the same side. Politics does",0,0,0,0
README.md,34630,78.6%,"k to the four sexual items at a median 87.7%** (86–90%), with a specification curve of **87.9% (linear) / 87.4% (seven dummies) / 78.6% (plus year dummies)** — all three on the same side. Politics does explain something — **−",0,0,0,0
README.md,34806,12.1%," same side. Politics does explain something — **−0.0332, which is 594.5× its own spread, genuinely real** — **but it accounts for 12.1%.** ⇒ **Strip political left–right out entirely and seven-eighths of the link between want",0,0,0,0
README.md,35785,13.7%,"osite direction to what I expected: **MFQ's ""the more you value chastity the less you value fairness"", −0.2116, drops to −0.0290 (13.7%) once politics is removed**; GSS's `helpoth` sits near zero before and after. **⇒ With po",0,1,0,1
README.md,36087,12.1%," that negative sign was almost entirely political sorting.** ⚠ The two instruments disagree about how much politics explains (GSS 12.1%, MFQ about 30%), and MFQ comes from a politics-interest platform; **the verdict was place",0,0,0,0
README.md,36104,30%,"gn was almost entirely political sorting.** ⚠ The two instruments disagree about how much politics explains (GSS 12.1%, MFQ about 30%), and MFQ comes from a politics-interest platform; **the verdict was placed on the probab",0,0,0,0
README.md,36615,90.6%,"bound to piety"", which is again already known. On the same rows (n=9,580–10,467), partialling out each in turn: **politics leaves 90.6% · attendance 79.0% · fundamentalism 82.3% · strength of identification 86.2% · all three ",0,0,0,0
README.md,36634,79.0%,"ich is again already known. On the same rows (n=9,580–10,467), partialling out each in turn: **politics leaves 90.6% · attendance 79.0% · fundamentalism 82.3% · strength of identification 86.2% · all three religion measures t",0,0,0,0
README.md,36657,82.3%,"own. On the same rows (n=9,580–10,467), partialling out each in turn: **politics leaves 90.6% · attendance 79.0% · fundamentalism 82.3% · strength of identification 86.2% · all three religion measures together 66.9% · religio",0,0,0,0
README.md,36692,86.2%,"67), partialling out each in turn: **politics leaves 90.6% · attendance 79.0% · fundamentalism 82.3% · strength of identification 86.2% · all three religion measures together 66.9% · religion plus politics 62.4%**. ⇒ **Of the",0,0,0,0
README.md,36737,66.9%, leaves 90.6% · attendance 79.0% · fundamentalism 82.3% · strength of identification 86.2% · all three religion measures together 66.9% · religion plus politics 62.4%**. ⇒ **Of the link between policing other people's sex and,0,0,0,0
README.md,36768,62.4%,"% · fundamentalism 82.3% · strength of identification 86.2% · all three religion measures together 66.9% · religion plus politics 62.4%**. ⇒ **Of the link between policing other people's sex and wanting children to obey, abou",0,0,0,0
README.md,37132,21.0%,"And within religion, **how often you attend (what you do) explains more than how strongly you identify (what you call yourself) — 21.0% against 13.8%.** ⚠ **The verdict is W-M: 66.9% falls inside the 50%–75% band I pre-regist",0,0,0,0
README.md,37146,13.8%,"igion, **how often you attend (what you do) explains more than how strongly you identify (what you call yourself) — 21.0% against 13.8%.** ⚠ **The verdict is W-M: 66.9% falls inside the 50%–75% band I pre-registered, so it is",0,0,0,0
README.md,37179,66.9%,"at you do) explains more than how strongly you identify (what you call yourself) — 21.0% against 13.8%.** ⚠ **The verdict is W-M: 66.9% falls inside the 50%–75% band I pre-registered, so it is undecidable, and I did not chang",0,0,0,0
README.md,37202,50%,"e than how strongly you identify (what you call yourself) — 21.0% against 13.8%.** ⚠ **The verdict is W-M: 66.9% falls inside the 50%–75% band I pre-registered, so it is undecidable, and I did not change the threshold.** ⚠⚠",0,0,0,0
README.md,37206,75%,"an how strongly you identify (what you call yourself) — 21.0% against 13.8%.** ⚠ **The verdict is W-M: 66.9% falls inside the 50%–75% band I pre-registered, so it is undecidable, and I did not change the threshold.** ⚠⚠ **A",0,0,0,0
README.md,37434,63.6%,"at most deserves recording here is about me: this is the second consecutive landing inside my own middle band** (the previous was 63.6%). Neither time was the world being vague — **I am picking thresholds as round numbers**, ",0,0,0,0
README.md,37663,9.4%," they should be derived from something measurable: the effect's own null, the MDE, or another known explanator's share (politics' 9.4% here is a ready-made ruler). ⚠ The three religion measures are correlated with one anothe",0,1,0,1
README.md,38211,16.0%,"ird alone.** MFQ carries its own religious-attendance measure, so no exemption was available: on it (n=5,251) **religion explains 16.0%, politics 28.7%, and the residual after both is 62.6%** — **0.2 percentage points from GS",0,0,0,0
README.md,38227,28.7%," carries its own religious-attendance measure, so no exemption was available: on it (n=5,251) **religion explains 16.0%, politics 28.7%, and the residual after both is 62.6%** — **0.2 percentage points from GSS's 62.4%.** ⇒ *",0,0,0,0
README.md,38265,62.6%,"measure, so no exemption was available: on it (n=5,251) **religion explains 16.0%, politics 28.7%, and the residual after both is 62.6%** — **0.2 percentage points from GSS's 62.4%.** ⇒ **The two instruments reverse each othe",0,0,0,0
README.md,38310,62.4%," (n=5,251) **religion explains 16.0%, politics 28.7%, and the residual after both is 62.6%** — **0.2 percentage points from GSS's 62.4%.** ⇒ **The two instruments reverse each other on whether religion or politics matters (GS",0,0,0,0
README.md,39339,16.8%," on the same residual while reversing which factor dominates. ⚠ In passing, MFQ's chastity×fairness goes from −0.2040 to −0.0342 (16.8%) once politics is removed, matching the 13.7% measured on the same instrument above — **t",0,0,0,0
README.md,39385,13.7%,"ctor dominates. ⚠ In passing, MFQ's chastity×fairness goes from −0.2040 to −0.0342 (16.8%) once politics is removed, matching the 13.7% measured on the same instrument above — **that negative sign is political sorting, and it",0,0,0,0
README.md,39806,75%," had picked myself, which deserves its own repair because the world was not being vague.** The old form was ""does retention clear 75% or fall under 50%"", and that line was a round number I chose. The new form: **a verdict c",0,0,0,0
README.md,39824,50%,", which deserves its own repair because the world was not being vague.** The old form was ""does retention clear 75% or fall under 50%"", and that line was a round number I chose. The new form: **a verdict compares only measu",0,0,0,0
README.md,40726,75%,"d flatly: this is not relaxing a threshold after the fact.** Both old verdicts remain correct as answers to ""does retention clear 75%""; **what is retired is the form of the question** — when a question needs me to pick a li",0,0,0,0
README.md,41734,33.1%,"le**, and that is precisely the reference group for a religion analysis. Fixing it raises n from 9,580 to 12,151, moving religion 33.1%→33.5% and the residual 62.4%→**61.0%** — **a real defect with a small consequence, and th",0,0,0,0
README.md,41740,33.5%,"and that is precisely the reference group for a religion analysis. Fixing it raises n from 9,580 to 12,151, moving religion 33.1%→33.5% and the residual 62.4%→**61.0%** — **a real defect with a small consequence, and the clai",0,0,0,0
README.md,41763,62.4%,"he reference group for a religion analysis. Fixing it raises n from 9,580 to 12,151, moving religion 33.1%→33.5% and the residual 62.4%→**61.0%** — **a real defect with a small consequence, and the claim stands under it.** ⚠ ",0,0,0,0
README.md,41769,**61.0%,"erence group for a religion analysis. Fixing it raises n from 9,580 to 12,151, moving religion 33.1%→33.5% and the residual 62.4%→**61.0%** — **a real defect with a small consequence, and the claim stands under it.** ⚠ The expo",0,0,0,0
README.md,42422,33.3%,"rded by me as ""residual"".** Dividing the control constructs' correlations by √reliability and recomputing the partial: **religion 33.3%→47.1%, residual 63.3%→49.0%, and residual/religion falls from 1.90× to 1.04×.** ⇒ **The p",0,0,0,0
README.md,42428,47.1%,"y me as ""residual"".** Dividing the control constructs' correlations by √reliability and recomputing the partial: **religion 33.3%→47.1%, residual 63.3%→49.0%, and residual/religion falls from 1.90× to 1.04×.** ⇒ **The previou",0,0,0,0
README.md,42444,63.3%,"l"".** Dividing the control constructs' correlations by √reliability and recomputing the partial: **religion 33.3%→47.1%, residual 63.3%→49.0%, and residual/religion falls from 1.90× to 1.04×.** ⇒ **The previous row's ""the res",0,0,0,0
README.md,42450,49.0%,"Dividing the control constructs' correlations by √reliability and recomputing the partial: **religion 33.3%→47.1%, residual 63.3%→49.0%, and residual/religion falls from 1.90× to 1.04×.** ⇒ **The previous row's ""the residual ",0,0,0,0
README.md,42859,33.3%,"cales, so the correction overshoots, **and it overshoots in exactly the direction that shrinks the residual**, giving **religion [33.3%, 47.1%], residual [49.0%, 63.3%], residual/religion [1.04×, 1.90×]** — **the interval con",0,1,1,0
README.md,42866,47.1%,"so the correction overshoots, **and it overshoots in exactly the direction that shrinks the residual**, giving **religion [33.3%, 47.1%], residual [49.0%, 63.3%], residual/religion [1.04×, 1.90×]** — **the interval contains 1",0,1,1,0
README.md,42884,49.0%,"overshoots, **and it overshoots in exactly the direction that shrinks the residual**, giving **religion [33.3%, 47.1%], residual [49.0%, 63.3%], residual/religion [1.04×, 1.90×]** — **the interval contains 1, so ""much larger ",0,1,1,0
README.md,42891,63.3%,"ots, **and it overshoots in exactly the direction that shrinks the residual**, giving **religion [33.3%, 47.1%], residual [49.0%, 63.3%], residual/religion [1.04×, 1.90×]** — **the interval contains 1, so ""much larger than re",0,1,1,0
README.md,43274,6.8%,"ternal consistency check I had not designed for came out right here: the political composite (`polviews`+`partyid`) explains only 6.8% raw, **less than `polviews` alone at 11.5%** — averaging a good indicator with a worse on",0,0,0,0
README.md,43316,11.5%,"d for came out right here: the political composite (`polviews`+`partyid`) explains only 6.8% raw, **less than `polviews` alone at 11.5%** — averaging a good indicator with a worse one adds noise — **and the reliability correc",0,0,0,0
README.md,43430,11.6%,"views` alone at 11.5%** — averaging a good indicator with a worse one adds noise — **and the reliability correction returns it to 11.6%, almost exactly the single indicator's value.**`[#765「我的过滤器删掉了参照组,而真正咬人的是控制量的信度」]`. ⚠ **T",0,0,0,0
README.md,43964,33.3%,"form loadings, λ² = [0.476, 0.717, 0.276], all inside (0,1)): **ω = 0.7352 > α = 0.7287**, tightening the interval to **religion [33.3%, 46.7%], residual [49.4%, 63.3%], residual/religion [1.06×, 1.90×]** — **still containing",0,0,1,0
README.md,43971,46.7%,"adings, λ² = [0.476, 0.717, 0.276], all inside (0,1)): **ω = 0.7352 > α = 0.7287**, tightening the interval to **religion [33.3%, 46.7%], residual [49.4%, 63.3%], residual/religion [1.06×, 1.90×]** — **still containing 1, so ",0,0,1,0
README.md,43989,49.4%,"6, 0.717, 0.276], all inside (0,1)): **ω = 0.7352 > α = 0.7287**, tightening the interval to **religion [33.3%, 46.7%], residual [49.4%, 63.3%], residual/religion [1.06×, 1.90×]** — **still containing 1, so the retraction abo",0,0,1,0
README.md,43996,63.3%,"7, 0.276], all inside (0,1)): **ω = 0.7352 > α = 0.7287**, tightening the interval to **religion [33.3%, 46.7%], residual [49.4%, 63.3%], residual/religion [1.06×, 1.90×]** — **still containing 1, so the retraction above stan",0,0,1,0
README.md,46006,1.9%,"d a different lead. The answer came in two layers: **a person's last-year conduct (partners, frequency, infidelity) explains only 1.9%** — under a third of politics' lower bound. ⚠⚠ **But the first arm used the wrong instrum",0,0,0,0
README.md,46337,**9.1%,"dentically 1 and says nothing about their history, **while the folk theory is about a lifetime**. Switching to lifetime partners: **9.1%, 4.8× the last-year figure**, landing inside politics' interval; and it is not age (age a",0,0,0,0
README.md,46447,1.4%," lifetime partners: **9.1%, 4.8× the last-year figure**, landing inside politics' interval; and it is not age (age alone explains 1.4%). ⚠⚠ **And the second arm carries a confound I did not write before the run and must stat",0,0,0,0
README.md,46745,**5.8%,"al sex, so `lifetime` and `premarsx` overlap semantically — on the least entangled item (attitudes to homosexuality) the share is **5.8%**. ⇒ **Own lifetime sexual history explains [5.8%, 12.4%]; religion explains [33.3%, 46.7",0,0,1,0
README.md,46797,5.8%,"cally — on the least entangled item (attitudes to homosexuality) the share is **5.8%**. ⇒ **Own lifetime sexual history explains [5.8%, 12.4%]; religion explains [33.3%, 46.7%].** **""Policing others is policing yourself"" is ",0,0,1,0
README.md,46803,12.4%,"— on the least entangled item (attitudes to homosexuality) the share is **5.8%**. ⇒ **Own lifetime sexual history explains [5.8%, 12.4%]; religion explains [33.3%, 46.7%].** **""Policing others is policing yourself"" is a littl",0,0,1,0
README.md,46830,33.3%,"em (attitudes to homosexuality) the share is **5.8%**. ⇒ **Own lifetime sexual history explains [5.8%, 12.4%]; religion explains [33.3%, 46.7%].** **""Policing others is policing yourself"" is a little bit true and nowhere near",0,0,1,0
README.md,46837,46.7%,"itudes to homosexuality) the share is **5.8%**. ⇒ **Own lifetime sexual history explains [5.8%, 12.4%]; religion explains [33.3%, 46.7%].** **""Policing others is policing yourself"" is a little bit true and nowhere near the ma",0,0,1,0
README.md,47399,5.8%," at 50 on a sample of women 15–44, **both of which compress the contrast.**`[#768「管别人的性,一点点是在管自己一生做过的事,几乎不是在管去年」]`. ⚠⚠ **And that 5.8% lower bound was picked by me after the fact, not measured** — I decided only after seeing",0,0,0,0
README.md,47914,12.2%,"**The slope is +0.2982 — the share does rise with entanglement, so the worry was correct** (`premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.",0,0,1,0
README.md,47945,5.9%,"are does rise with entanglement, so the worry was correct** (`premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.2%].** ⚠ **But the pre-registe",0,0,1,0
README.md,47971,1.9%,"ement, so the worry was correct** (`premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.2%].** ⚠ **But the pre-registered branch fires honestly:",0,0,1,0
README.md,47983,95%,"e worry was correct** (`premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.2%].** ⚠ **But the pre-registered branch fires honestly: that inter",0,0,1,0
README.md,48000,−2.2%,"ct** (`premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.2%].** ⚠ **But the pre-registered branch fires honestly: that interval is 8.4pp wide a",0,0,1,0
README.md,48007,6.2%,"premarsx` at entanglement 0.34 gives 12.2%; `homosex` at 0.21 gives 5.9%). **The intercept is 1.9% with a 95% interval of [−2.2%, 6.2%].** ⚠ **But the pre-registered branch fires honestly: that interval is 8.4pp wide against",0,0,1,0
README.md,48402,6%," stripped out, own lifetime sexual history becomes indistinguishable from nothing, and this design cannot tell whether it is 0 or 6%.**`[#769「纠缠度不该由我来排,而测出来之后是测不动的」]`. ⚠⚠ **And across all five of those rounds I reported an",1,0,0,0
README.md,51228,−37%,"tself creates, and cannot remove the real change in variance across strata — `xmarsex`'s attitude sd falls from 0.856 to **0.542 (−37%)**, because **the most devout agree with one another and there is less variance left to c",0,0,0,0
README.md,51818,87.8%,"that disagreement entirely: the answer is not in the people, it is in the scale.** Censoring first: **in the most devout tercile, 87.8% say extramarital sex is ""always wrong""** (`teensex` 82.2%, `homosex` 80.5%), against a pr",0,0,0,0
README.md,51876,82.2%,"e, it is in the scale.** Censoring first: **in the most devout tercile, 87.8% say extramarital sex is ""always wrong""** (`teensex` 82.2%, `homosex` 80.5%), against a pre-registered censoring threshold of 60% — **that four-poin",0,0,0,0
README.md,51893,80.5%,"cale.** Censoring first: **in the most devout tercile, 87.8% say extramarital sex is ""always wrong""** (`teensex` 82.2%, `homosex` 80.5%), against a pre-registered censoring threshold of 60% — **that four-point item is already",0,0,0,0
README.md,51949,60%,"7.8% say extramarital sex is ""always wrong""** (`teensex` 82.2%, `homosex` 80.5%), against a pre-registered censoring threshold of 60% — **that four-point item is already at its ceiling for them, and no strength-of-relation ",0,0,0,0
README.md,52951,46.4%,"riance and **cannot fix censoring**, which was written before the run. ⚠ The only item not at its ceiling is `premarsx` (endpoint 46.4%, sd **rising**, slope **not falling**), **three indicators agreeing — and this round does",0,0,0,0
README.md,54559,85.1%,"rly ceiling, the premise was refuted outright by the data:** in the devout tercile `xmarsex`'s endpoint share **never falls below 85.1%** (it was already 87.2% in 1988), and all six threshold windows **return 0 years** — **""b",0,0,0,0
README.md,54583,87.2%," was refuted outright by the data:** in the devout tercile `xmarsex`'s endpoint share **never falls below 85.1%** (it was already 87.2% in 1988), and all six threshold windows **return 0 years** — **""before it saturated"" does",0,0,0,0
README.md,55210,85.9%,"question I had not asked, with its own null attached: **among the devout, the share saying ""always wrong"" fell for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmar",0,0,0,0
README.md,55219,67.4%,"I had not asked, with its own null attached: **among the devout, the share saying ""always wrong"" fell for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmarsex` went",0,0,0,0
README.md,55270,53.6%,"g the devout, the share saying ""always wrong"" fell for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmarsex` went 87.2%→89.6% (0.76×, not clearing its null).** ⇒ **",0,0,0,0
README.md,55279,40.9%,"out, the share saying ""always wrong"" fell for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmarsex` went 87.2%→89.6% (0.76×, not clearing its null).** ⇒ **In one se",0,0,0,0
README.md,55315,87.2%," fell for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmarsex` went 87.2%→89.6% (0.76×, not clearing its null).** ⇒ **In one sentence about people: the most devout",0,0,0,0
README.md,55321,89.6%,"for `homosex` from 85.9% to 67.4% (2.38× its own null) and for `premarsx` from 53.6% to 40.9% (2.12×), while `xmarsex` went 87.2%→89.6% (0.76×, not clearing its null).** ⇒ **In one sentence about people: the most devout third",0,0,0,0
README.md,56130,61.1%,"e two side by side.** Over the same 28 years, across two stratifications and two statistics: **the least devout tercile fell from 61.1% to 21.8%** against the most devout's 85.9%→67.4%; **devout/non-devout ratios are 0.409–0.",0,0,0,0
README.md,56139,21.8%,"e by side.** Over the same 28 years, across two stratifications and two statistics: **the least devout tercile fell from 61.1% to 21.8%** against the most devout's 85.9%→67.4%; **devout/non-devout ratios are 0.409–0.431 on le",0,0,0,0
README.md,56173,85.9%,"s, across two stratifications and two statistics: **the least devout tercile fell from 61.1% to 21.8%** against the most devout's 85.9%→67.4%; **devout/non-devout ratios are 0.409–0.431 on level and 0.328–0.341 on endpoint sh",0,0,0,0
README.md,56179,67.4%,oss two stratifications and two statistics: **the least devout tercile fell from 61.1% to 21.8%** against the most devout's 85.9%→67.4%; **devout/non-devout ratios are 0.409–0.431 on level and 0.328–0.341 on endpoint share re,0,0,0,0
README.md,60065,**5%," thresholds × 2 cohort segmentations × 2 statistics = 50 cells, **37 readable and 13 not, all listed**; the ratio percentiles are **5% 0.185, median 0.375, 95% 0.692, max 1.128**. **Only one cell reaches 1.0: Seg-B · tercile",0,0,0,0
README.md,60091,95%,"mentations × 2 statistics = 50 cells, **37 readable and 13 not, all listed**; the ratio percentiles are **5% 0.185, median 0.375, 95% 0.692, max 1.128**. **Only one cell reaches 1.0: Seg-B · terciles · n≥60 · cohort 1975–19",0,0,0,0
README.md,62302,23%,"tance of the wrong-question-branch family, **and this time it changed the conclusion.** ⚠ Applied back across all 44 cells: **10 (23%) have intervals containing 1.0**, and the split by cohort is remarkably clean — **0/30 fo",0,0,0,0
README.md,64656,2×,"oving to **MSSCQ** (sexual self-concept, **n = 12,789 complete respondents**, resampling **people** rather than year-points): the 2×2 specification grid spans **0.0519**, the four bootstrap widths run 0.0110–0.0171, and **",1,0,1,0
README.md,65685,2×,"string already says ""`#721` measured: 0.5645 vs 0.5856""); ② **and calling it does not give 0.5645 either** — only enumerating the 2×2 matched: **`0.5645` = normalised ρ + per-facet median, `0.5856` = raw |ρ| + 200-pair poo",0,0,0,0
README.md,75047,30%,"sentence: the ""common latent shift"" control is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **struct",0,0,0,0
README.md,75084,42%,"ontrol is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#",0,0,0,0
README.md,75088,31%,"ol is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#788「",0,0,0,0
README.md,75102,72%," this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#788「挡住这个问题的不是数据,是我",0,0,0,0
README.md,75106,71%,"s design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#788「挡住这个问题的不是数据,是我那具自动",0,0,0,0
README.md,76240,95%,"me close to publishing ""one master brake"" exactly as pre-registered.** The control I added overturned it: **that difference's own 95% interval is [−2.067, +1.432], width 3.499, where resolving the question needs ≤0.330** — ",0,0,1,0
README.md,81881,30%,"sentence: the ""common latent shift"" control is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **struct",0,0,0,0
README.md,81918,42%,"ontrol is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#",0,0,0,0
README.md,81922,31%,"ol is **out of this design's reach** for the top pair — both calibration arms exceed the 30% reachable-range limit (`sexeduc` 42%/31%, `racmar` 72%/71%) ⇒ zero usable cells, **structurally impossible, not a debt**.** [#791「",0,0,0,0
