entry,in_ledger,round,scan,source,why,files
118,True,E01·A12·R170,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
119,True,E01·A13·R171,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
120,True,E01·A13·R172,-,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
122,True,E01·A11·R153,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
128,True,E01·A14·R173,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
129,True,E01·A14·R174,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
130,True,E01·A14·R175,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
131,True,E01·A14·R176,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
132,True,E01·A14·R177,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
133,True,E01·A15·R178,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
134,True,E01·A15·R179,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
135,True,E01·A15·R180,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
136,True,E01·A15·R181,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
137,True,E01·A16·R182,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
138,True,E01·A16·R183,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
139,True,E01·A16·R184,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
140,True,E01·A16·R185,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
141,True,E01·A17·R186,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
142,True,E01·A17·R187,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
143,True,E01·A17·R188,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
144,True,E01·A17·R189,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂",README_zh.md
146,True,E01·A18·R191,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
147,True,E01·A18·R192,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
148,True,E01·A18·R193,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
149,True,E01·A19·R194,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
150,True,E01·A19·R195,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
151,True,E01·A19·R196,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
152,True,E01·A19·R197,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
153,True,E01·A20·R198,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
154,True,E01·A20·R199,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
157,True,E01·A20·R202,-,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
159,True,E01·A21·R204,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
160,True,E01·A21·R205,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
161,True,E01·A21·R206,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
162,True,E01·A21·R207,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
163,True,E01·A22·R208,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
164,True,E01·A22·R209,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
165,True,E01·A22·R210,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
167,True,E01·A24·R212,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
168,True,E01·A25·R213,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
169,False,,,,,
